stat,role_bucket,book,line,player_id,market_logloss,market_brier,market_no_vig_over_prob,actual_outcome,is_push
pts,starter,hardrockbet,30.5,175,0.7135977910312362,0.260223901391598,0.5101214574898786,24,False
reb,starter,williamhill_us,4.5,175,0.541544047052498,0.1748501283757317,0.4181508440452222,3,False
reb,starter,fanduel,4.5,175,0.5286850954455816,0.1686092458565676,0.4106205619018215,3,False
reb,starter,bovada,4.5,175,0.5531011069142289,0.1804861378102438,0.4248366013071895,3,False
reb,starter,bovada,3.5,175,0.8953318808533115,0.3499053604656219,0.5915279878971256,3,False
reb,starter,betmgm,4.5,175,0.5682590685486538,0.1879128542398425,0.4334891627709307,3,False
reb,starter,betonlineag,4.5,175,0.5259410624491279,0.1672818706108332,0.4090010643150372,3,False
reb,starter,draftkings,4.5,175,0.5642557742255111,0.1859478488561265,0.4312167075336096,3,False
reb,starter,hardrockbet_fl,4.5,175,0.5639354490799392,0.1857907253269917,0.4310344827586207,3,False
reb,starter,espnbet,3.5,175,0.9205672886414152,0.3620512779006453,0.6017069701280228,3,False
reb,starter,espnbet,4.5,175,0.5387158777478231,0.173474704822044,0.4165029469548134,3,False
reb,starter,espnbet,5.5,175,0.320742934712669,0.0752900059488399,0.274390243902439,3,False
reb,starter,fliff,4.5,175,0.5680321364972691,0.1878013998525134,0.4333605887162715,3,False
reb,starter,betparx,4.5,175,0.5242686940224437,0.1664736856008241,0.4080118694362017,3,False
reb,starter,hardrockbet_az,4.5,175,0.5639354490799392,0.1857907253269917,0.4310344827586207,3,False
reb,starter,hardrockbet,4.5,175,0.5639354490799392,0.1857907253269917,0.4310344827586207,3,False
ast,starter,williamhill_us,6.5,175,0.7358591674882649,0.2713434146340101,0.4790936604014018,12,False
ast,starter,betonlineag,6.5,175,0.7457266820660147,0.2762664562071437,0.4743894443533846,12,False
ast,starter,betmgm,6.5,175,0.7346038942382914,0.2707168440310238,0.4796954314720812,12,False
ast,starter,bovada,6.5,175,0.7563260821814768,0.2815493544356517,0.4693877551020409,12,False
ast,starter,bovada,7.5,175,1.0947400669856002,0.4427217931796181,0.3346265761396702,12,False
ast,starter,bovada,5.5,175,0.4842676849956726,0.147342168899502,0.6161482461945731,12,False
ast,starter,draftkings,6.5,175,0.7642294271522757,0.2854843518985102,0.4656926428557152,12,False
ast,starter,fanduel,6.5,175,0.7616181767632421,0.2841846580714098,0.4669102720259846,12,False
ast,starter,fliff,6.5,175,0.7023638356648694,0.2546081979631345,0.4954128440366972,12,False
ast,starter,betparx,6.5,175,0.7598385550586177,0.2832986472424558,0.4677419354838709,12,False
ast,starter,espnbet,7.5,175,1.07880966137193,0.4356,0.3399999999999999,12,False
ast,starter,espnbet,6.5,175,0.7563260821814768,0.2815493544356517,0.4693877551020409,12,False
ast,starter,espnbet,5.5,175,0.4700036292457356,0.140625,0.625,12,False
ast,starter,hardrockbet_fl,6.5,175,0.7346038942382914,0.2707168440310238,0.4796954314720812,12,False
ast,starter,hardrockbet,6.5,175,0.7346038942382914,0.2707168440310238,0.4796954314720812,12,False
ast,starter,hardrockbet_az,6.5,175,0.7346038942382914,0.2707168440310238,0.4796954314720812,12,False
fg3m,starter,williamhill_us,1.5,175,0.7753078764206259,0.2909933957621628,0.4605619630002321,2,False
fg3m,starter,fanduel,1.5,175,0.7313878838346938,0.2691112940161929,0.4812406203101549,2,False
fg3m,starter,fanduel,0.5,175,0.2350383389663589,0.0438732651570489,0.7905405405405406,2,False
fg3m,starter,fanduel,1.5,175,0.7370413741171706,0.2719334562836389,0.4785276073619631,2,False
fg3m,starter,fanduel,2.5,175,0.2666286632539486,0.0547759167043911,0.2340425531914893,2,False
fg3m,starter,betmgm,1.5,175,0.7865616251993712,0.2965804795322059,0.4554079696394686,2,False
fg3m,starter,betonlineag,1.5,175,0.7501173999800268,0.2784555750013826,0.4723111001722865,2,False
fg3m,starter,bovada,1.5,175,0.7346038942382914,0.2707168440310238,0.4796954314720812,2,False
fg3m,starter,draftkings,1.5,175,0.7303507767272996,0.2685934511534496,0.4817399772764161,2,False
fg3m,starter,hardrockbet_fl,1.5,175,0.713597791031236,0.2602239013915979,0.4898785425101215,2,False
fg3m,starter,espnbet,2.5,175,0.2757058814050652,0.0580635796196835,0.2409638554216867,2,False
fg3m,starter,espnbet,1.5,175,0.7346038942382914,0.2707168440310238,0.4796954314720812,2,False
fg3m,starter,espnbet,0.5,175,0.2305236586118323,0.0423875432525951,0.7941176470588235,2,False
fg3m,starter,fliff,1.5,175,0.7211079955575885,0.2639768395869377,0.4862132352941176,2,False
fg3m,starter,betparx,1.5,175,0.8123628812178246,0.3093493625003779,0.4438081603435934,2,False
fg3m,starter,hardrockbet_az,1.5,175,0.713597791031236,0.2602239013915979,0.4898785425101215,2,False
fg3m,starter,hardrockbet,1.5,175,0.713597791031236,0.2602239013915979,0.4898785425101215,2,False
stl,starter,fanduel,1.5,175,1.0899760698368035,0.4405978619373404,0.3362245395185654,5,False
stl,starter,bovada,0.5,175,0.4469309025004363,0.1298967371667652,0.6395881006864989,5,False
stl,starter,draftkings,0.5,175,0.445020513983912,0.1290166441104255,0.6408111303082659,5,False
stl,starter,hardrockbet_fl,0.5,175,0.4282640230729703,0.1213551464660037,0.6516393442622951,5,False
stl,starter,fliff,0.5,175,0.4241572411203169,0.119493979576284,0.654320987654321,5,False
stl,starter,betparx,1.5,175,1.07880966137193,0.4356,0.3399999999999999,5,False
stl,starter,hardrockbet_az,0.5,175,0.4282640230729703,0.1213551464660037,0.6516393442622951,5,False
stl,starter,hardrockbet,0.5,175,0.4282640230729703,0.1213551464660037,0.6516393442622951,5,False
blk,starter,betmgm,0.5,175,0.5004698355861311,0.1550424039131153,0.606245756958588,1,False
blk,starter,bovada,0.5,175,0.5250462798663205,0.1668493846713707,0.5915279878971256,1,False
blk,starter,draftkings,0.5,175,0.5250631797462091,0.1668575514890596,0.5915179912296509,1,False
blk,starter,betparx,0.5,175,0.4567272784508316,0.1344299892183232,0.6333530455351862,1,False
blk,starter,hardrockbet_fl,0.5,175,0.5434429286898216,0.1757744685776011,0.5807453416149069,1,False
blk,starter,hardrockbet,0.5,175,0.5434429286898216,0.1757744685776011,0.5807453416149069,1,False
