bucket_dimension,bucket_value,n,thin_sample,mean_AE,variance_AE,std_residual_mean,std_residual_sd,pmf_nll_mean,pmf_rps_mean,brier_over_model_mean,brier_over_market_mean,logloss_over_model_mean,logloss_over_market_mean,coverage_10,coverage_25,coverage_50,coverage_75,coverage_90,sum_actual,sum_expected_mean,sum_expected_variance,sum_sq_residual
low_line_discrete,no,263,False,1.0559386617680566,0.7858053649654599,0.10541614270904705,0.9136936973420884,2.562020410531652,0.10113690527396563,0.2444424059695817,0.2449325957794677,0.6833285125073331,0.6829547034363231,0.09885931558935361,0.24334600760456274,0.5247148288973384,0.7718631178707225,0.935361216730038,2139.0,2025.685844685782,6082.1864833230375,4779.4147693156465
low_line_discrete,yes,128,False,1.0790991071153067,1.1323384180836689,0.11513579800674811,1.1223839915855418,1.601705655626412,0.14601438881209214,0.29598282203125,0.2526324453125,0.8025445854564033,0.7035116321054699,0.40625,0.46875,0.59375,0.8203125,0.9375,130.0,120.47086235435918,135.66572052144846,153.6195073634381
minutes_volatility_bucket,unavailable,391,False,1.0572387340388005,0.793366280663442,0.10859802475023815,0.9854361661916363,2.2476462708184277,0.11582825538363364,0.2613149718414322,0.2474532626342711,0.7223557691249316,0.689684337374049,0.19948849104859334,0.3171355498721228,0.5473145780051151,0.7877237851662404,0.9360613810741688,2269.0,2146.1567070401416,6217.852203844486,4933.034276679085
overall,ALL,391,False,1.0572387340388005,0.793366280663442,0.10859802475023815,0.9854361661916363,2.2476462708184277,0.11582825538363364,0.2613149718414322,0.2474532626342711,0.7223557691249316,0.689684337374049,0.19948849104859334,0.3171355498721228,0.5473145780051151,0.7877237851662404,0.9360613810741688,2269.0,2146.1567070401416,6217.852203844486,4933.034276679085
p0_bucket,20_to_50pct,81,False,1.061276050634938,1.2066372110777221,0.07915393931268275,1.2268096575756595,1.9254479611030078,0.16876112491503822,0.2836091732098766,0.24722717419753087,0.7752691407923928,0.6938744014189353,0.345679012345679,0.43209876543209874,0.6296296296296297,0.8024691358024691,0.9012345679012346,108.0,101.76428643177805,121.0057128253432,146.00999584804387
p0_bucket,5_to_20pct,124,False,1.1177905369462684,1.3195358469167853,0.11874671846471052,0.9841808606182741,2.125366951482436,0.11277975347603963,0.25796004153225804,0.24071723725806454,0.712024813799262,0.6744755277569158,0.12903225806451613,0.28225806451612906,0.5403225806451613,0.7903225806451613,0.9032258064516129,467.0,417.7884716002462,790.3664011202503,1042.9167984767812
p0_bucket,ge_50pct,47,False,1.4886932107711373,0.9231932474353791,0.3027405440149332,0.9285169950805527,1.1571032113015711,0.10453398127193887,0.30325768723404256,0.2628502285106383,0.8180910996664771,0.7218820834333746,0.48936170212765956,0.48936170212765956,0.48936170212765956,0.7659574468085106,0.9787234042553191,32.0,21.49536235435918,32.16399096930846,29.693579273438083
p0_bucket,lt_5pct,139,False,1.0354439654857535,0.7042455995071392,0.051057265717193275,0.8392775595478779,2.9132306052206167,0.09152093659045046,0.23713420510791364,0.24838795985611514,0.6683665232246871,0.6899232088855628,0.07913669064748201,0.22302158273381295,0.5251798561151079,0.7841726618705036,0.9712230215827338,1662.0,1605.1085866537578,5274.316098929585,3714.413903080821
predicted_variance_bucket,high,129,False,1.058422177498967,0.7738996903271029,0.12461583206035748,0.9036135844435268,3.0600637884921014,0.0997403316636138,0.2529163731007752,0.2482446778294574,0.7016891460294078,0.6896377175756478,0.06976744186046512,0.23255813953488372,0.4806201550387597,0.7441860465116279,0.9457364341085271,1671.0,1578.7651048171945,5404.032271115651,4182.178901134073
predicted_variance_bucket,low,129,False,1.064121310253181,1.2801177910043393,0.10384562450257757,1.1444198208308194,1.6177248662710868,0.15212727567918186,0.29474336790697675,0.2517277605426357,0.8012518362015765,0.7016907060162098,0.40310077519379844,0.4728682170542636,0.6124031007751938,0.8217054263565892,0.9302325581395349,138.0,129.68446235435917,128.65257066244445,164.69044456343806
predicted_variance_bucket,mid,133,False,1.0509309949527108,0.8555062068539923,0.09767142692274064,0.8982964451147873,2.0706387625981506,0.09622501133669256,0.23703795037593983,0.24253970781954892,0.6658775866169269,0.6780842802248387,0.12781954887218044,0.24812030075187969,0.5488721804511278,0.7969924812030075,0.9323308270676691,460.0,437.7071398685875,685.1673620663902,586.1649309815734
role_bucket,bench,28,True,0.9544356276553441,0.9156010059951456,-0.15444569281556153,0.9851352851633033,1.5206058334415204,0.12308637115635705,0.3388916139285714,0.24932361178571427,0.8967863918727311,0.6921811182177372,0.5,0.5714285714285714,0.6071428571428571,0.8214285714285714,0.9642857142857143,44.0,46.100542273437455,77.59131976779254,71.04269043588188
role_bucket,core,56,False,0.9898113342363501,0.9394520420463622,0.06185955973203587,0.9048519132280011,2.2863424171405193,0.10831764870960994,0.28962630714285714,0.26277290910714285,0.7812550453893107,0.7196809591848012,0.17857142857142858,0.26785714285714285,0.5178571428571429,0.8035714285714286,0.9642857142857143,314.0,317.23217257585185,921.7089520275488,865.9013571546932
role_bucket,ge30min_starter,64,False,1.078273240233051,0.5267597681134587,0.1056438828153545,0.876020413143483,2.2333345397811684,0.09043986845668439,0.22785282937499998,0.23848642250000002,0.6452784626638673,0.6696709737327919,0.171875,0.28125,0.53125,0.8125,0.953125,454.0,421.04355654961387,1234.9237768441737,650.5081623282337
role_bucket,lt15min,6,True,2.306621415985643,6.169880275102325,0.5947646754009385,1.5808394671029244,2.2750186570640096,0.1961445408879944,0.2506490416666667,0.22866980833333336,0.6945480280865398,0.6492010883855023,0.3333333333333333,0.5,0.5,0.6666666666666666,0.6666666666666666,36.0,15.60724258888268,50.22381661682084,309.8749354844793
role_bucket,lt22min,8,True,0.4402782199809275,0.6107140003955533,-0.6497398949148959,0.3666623736526094,1.558139410756146,0.0698960696369518,0.10996228,0.18902899375,0.3990374912227224,0.5699777866099465,0.375,0.875,1.0,1.0,1.0,12.0,27.25549313004816,85.00726432323488,51.91512645752497
role_bucket,lt30min,18,True,1.133767818969786,0.47702393949254956,0.05679158378192287,0.7465465991873459,2.138808221594749,0.08481089895284197,0.23530689111111114,0.22792591555555555,0.6629682544370787,0.6484299482111588,0.1111111111111111,0.2777777777777778,0.5,0.8333333333333334,1.0,112.0,98.78565798575089,258.8448822022362,123.47520542559563
role_bucket,rotation,53,False,1.071071605696159,0.8527744754676505,0.2114447948938674,1.1118944467864125,2.0666268897173223,0.12366165391253978,0.26030678471698115,0.2533479747169811,0.7164431738459219,0.7003190239199212,0.24528301886792453,0.37735849056603776,0.5471698113207547,0.7547169811320755,0.8867924528301887,169.0,157.78590254958345,469.60097808500524,400.46372776553596
role_bucket,starter,158,False,1.061800818188046,0.7884267743055622,0.1643131120282665,1.0181899946317936,2.475564191617861,0.12766955640960412,0.26245669873417726,0.24924297892405065,0.7279650488045605,0.6954478000706309,0.14556962025316456,0.25316455696202533,0.5379746835443038,0.7658227848101266,0.930379746835443,1128.0,1062.346139386973,3119.9512139776734,2459.85307162714
