stat,role_bucket,n,before_n,before_mean_ae,before_variance_ae,before_p0_error,before_pit_ks,before_nll,before_rps,before_mean_pass,before_variance_pass,before_p0_pass,before_pit_pass,before_internal_pass,after_n,after_mean_ae,after_variance_ae,after_p0_error,after_pit_ks,after_nll,after_rps,after_mean_pass,after_variance_pass,after_p0_pass,after_pit_pass,after_internal_pass,mean_ae_abs_error_delta,variance_ae_abs_error_delta,p0_abs_error_delta,pit_ks_delta,nll_delta,rps_delta
reb,core,5248,5248.0,1.0703519223471594,0.6357074933804155,-0.0642988928423337,0.12896849593495935,2.345528960881439,0.04641695869694548,False,False,False,False,False,5248.0,1.0703519223471594,0.6357074933804155,-0.0642988928423337,0.12896849593495935,2.345528960881439,0.04641695869694548,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0
reb,fringe,1296,1296.0,1.0390811391419665,0.7743473398414189,-0.06704998072653223,0.13424074074074074,1.7063187159707296,0.030449947566969726,False,False,False,False,False,1296.0,1.0390811391419665,0.7743473398414189,-0.06704998072653223,0.13424074074074074,1.7063187159707296,0.030449947566969726,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0
reb,rotation,4772,4772.0,1.0728941711419582,0.6858747309446668,-0.07791332435130971,0.11564361553506569,2.2385022798813274,0.0431884337794012,False,False,False,False,False,4772.0,1.0728941711419582,0.6858747309446668,-0.07791332435130971,0.11564361553506569,2.2385022798813274,0.0431884337794012,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0
reb,starter,3369,3369.0,1.0333247983392473,0.5848240557881892,-0.04520116979365839,0.10883081032947461,2.4313418279301544,0.04893134901468135,False,False,False,False,False,3369.0,1.0333247983392473,0.5848240557881892,-0.04520116979365839,0.10883081032947461,2.4313418279301544,0.04893134901468135,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0
stl,bench,3286,3286.0,0.8094311332151759,0.4003926375369828,-0.0026665874820747115,0.18190464393798841,1.82072012731047,0.033075590375908424,False,False,True,False,False,3286.0,0.8094311332151759,0.4003926375369828,-0.0026665874820747115,0.18190464393798841,1.82072012731047,0.033075590375908424,False,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0
stl,core,5248,5248.0,0.8676742075101721,0.4394445768218179,-0.014167047865208282,0.09776104895888596,2.4614836119989287,0.04888522030295555,False,False,True,False,False,5248.0,0.8676742075101721,0.4394445768218179,-0.014167047865208282,0.09776104895888596,2.4614836119989287,0.04888522030295555,False,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0
stl,fringe,1296,1296.0,0.6938529526999818,0.34184801822114685,0.02144287970241676,0.2739197530864198,1.1957554441512197,0.022444605933656683,False,False,True,False,False,1296.0,0.6938529526999818,0.3418480182211468,0.021442879702416873,0.2739197530864198,1.1957554441512197,0.022444605933656683,False,False,True,False,False,0.0,1.1102230246251565e-16,1.1102230246251565e-16,0.0,0.0,0.0
stocks,bench,3286,3286.0,0.8430157347616686,0.4526776014515331,-0.010853215968568586,0.11195670078755139,2.544746301225241,0.025569632145831026,False,False,True,False,False,3286.0,0.8430157347616686,0.4526776014515331,-0.010853215968568586,0.11195670078755139,2.544746301225241,0.025569632145831026,False,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0
stocks,inactive_risk,1237,1237.0,0.8124581607017474,0.3965215940226178,-0.002049268574599583,0.11652220325763152,1.5105977819469465,0.02356503222604703,False,False,True,False,False,1237.0,0.8124581607017474,0.3965215940226178,-0.002049268574599583,0.11652220325763152,1.5105977819469465,0.02356503222604703,False,False,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0
stocks,starter,3369,3369.0,0.8919282385300791,0.4859307954849514,-0.032996954159879716,0.05372514099139214,3.425380111634882,0.038467157125360356,False,False,False,True,False,3369.0,0.8919282385300791,0.4859307954849514,-0.032996954159879716,0.05372514099139214,3.425380111634882,0.038467157125360356,False,False,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0
tov,bench,3286,3286.0,1.0014152102011267,0.5752220475217574,-0.09299085648328154,0.24255984986812745,1.136958754928339,0.033859440365155105,True,False,False,False,False,3286.0,1.001415210201127,0.5752220475217574,-0.09299085648328154,0.24255984986812745,1.136958754928339,0.033859440365155105,True,False,False,False,False,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0
tov,core,5248,5248.0,1.0248763454489458,0.5421840379413402,-0.14173125821364024,0.1362510162601626,1.622555843174023,0.05354904044885583,False,False,False,False,False,5248.0,1.024876345448946,0.5421840379413402,-0.14173125821364024,0.1362510162601626,1.622555843174023,0.05354904044885583,False,False,False,False,False,2.220446049250313e-16,0.0,0.0,0.0,0.0,0.0
tov,inactive_risk,1237,1237.0,1.172905281804753,0.5870060875360412,-0.145936146654371,0.22408490727811672,1.4216094987728993,0.038570279990883805,False,False,False,False,False,1237.0,1.172905281804753,0.5870060875360412,-0.145936146654371,0.22408490727811672,1.4216094987728993,0.038570279990883805,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0
