player_name,projected_minutes,stat,market_line,model_projected_mean,model_probability_over_market_line
Duncan Robinson,26.15102343483029,pts,11.5,11.592695201565848,0.4452355129534066
Duncan Robinson,26.15102343483029,pts,12.5,11.592695201565848,0.3949949137628123
Duncan Robinson,26.15102343483029,ra,1.5,5.140493729819861,0.9553852617205384
Duncan Robinson,26.15102343483029,ra,2.5,5.140493729819861,0.8402670388594419
Duncan Robinson,26.15102343483029,ra,3.5,5.140493729819861,0.6909122812886289
Duncan Robinson,26.15102343483029,ra,4.5,5.140493729819861,0.4981998956175566
Duncan Robinson,26.15102343483029,ra,5.5,5.140493729819861,0.3482286339366778
Duncan Robinson,26.15102343483029,reb,1.5,2.7740635720295184,0.8499301444141326
Duncan Robinson,26.15102343483029,stl,0.5,1.1856686755042185,0.6403628384176304
Duncan Robinson,26.15102343483029,stocks,,1.7108710148021082,
Duncan Robinson,26.15102343483029,tov,,1.061155486208332,
Evan Mobley,30.477299104775202,ast,2.5,3.0793994226981964,0.646055091735465
Evan Mobley,30.477299104775202,ast,3.5,3.0793994226981964,0.3640814884308542
Evan Mobley,30.477299104775202,ast,4.5,3.0793994226981964,0.14600606778859987
Evan Mobley,30.477299104775202,ast,5.5,3.0793994226981964,0.032857143964053516
Evan Mobley,30.477299104775202,blk,1.5,2.3377133062632325,0.7480821504543275
Evan Mobley,30.477299104775202,blk,2.5,2.3377133062632325,0.2576532316362743
Evan Mobley,30.477299104775202,fg3m,0.5,1.1787039655426423,0.6922627618988273
Evan Mobley,30.477299104775202,fg3m,1.5,1.1787039655426423,0.3559182325124153
Evan Mobley,30.477299104775202,fg3m,2.5,1.1787039655426423,0.13052297113139957
Evan Mobley,30.477299104775202,pa,13.5,18.84547759810942,0.7619743187841613
Evan Mobley,30.477299104775202,pa,14.5,18.84547759810942,0.7121043768605442
Evan Mobley,30.477299104775202,pa,15.5,18.84547759810942,0.6599241846577193
Evan Mobley,30.477299104775202,pa,16.5,18.84547759810942,0.597302625744721
Evan Mobley,30.477299104775202,pa,17.5,18.84547759810942,0.5361879311989084
Evan Mobley,30.477299104775202,pa,18.5,18.84547759810942,0.4700452931208724
Evan Mobley,30.477299104775202,pa,19.5,18.84547759810942,0.4084326143487079
Evan Mobley,30.477299104775202,pa,20.5,18.84547759810942,0.3495556709304104
Evan Mobley,30.477299104775202,pa,21.5,18.84547759810942,0.2937380310980957
Evan Mobley,30.477299104775202,pa,22.5,18.84547759810942,0.24615249202596745
Evan Mobley,30.477299104775202,pa,23.5,18.84547759810942,0.2057198257668128
Evan Mobley,30.477299104775202,pa,24.5,18.84547759810942,0.1695611570109795
Evan Mobley,30.477299104775202,pa,25.5,18.84547759810942,0.1369258162846385
Evan Mobley,30.477299104775202,pr,16.5,22.813157244789764,0.7761607471072068
Evan Mobley,30.477299104775202,pr,17.5,22.813157244789764,0.7346554914150323
Evan Mobley,30.477299104775202,pr,18.5,22.813157244789764,0.6852578301292838
Evan Mobley,30.477299104775202,pr,19.5,22.813157244789764,0.6327912500545774
Evan Mobley,30.477299104775202,pr,20.5,22.813157244789764,0.574809695144957
Evan Mobley,30.477299104775202,pr,21.5,22.813157244789764,0.511279731263431
Evan Mobley,30.477299104775202,pr,22.5,22.813157244789764,0.46289820317450814
Evan Mobley,30.477299104775202,pr,23.5,22.813157244789764,0.4089618636111467
Evan Mobley,30.477299104775202,pr,24.5,22.813157244789764,0.35739213046632645
Evan Mobley,30.477299104775202,pr,25.5,22.813157244789764,0.31049919047411234
Evan Mobley,30.477299104775202,pr,26.5,22.813157244789764,0.2690597279384592
Evan Mobley,30.477299104775202,pr,27.5,22.813157244789764,0.224901447844716
Evan Mobley,30.477299104775202,pr,28.5,22.813157244789764,0.18949437148493287
Evan Mobley,30.477299104775202,pr,29.5,22.813157244789764,0.15942214459968085
Evan Mobley,30.477299104775202,pr,30.5,22.813157244789764,0.12484045197976179
Evan Mobley,30.477299104775202,pr,31.5,22.813157244789764,0.10083206601564265
Evan Mobley,30.477299104775202,pr,32.5,22.813157244789764,0.0816053509421214
Evan Mobley,30.477299104775202,pra,20.5,27.203374591503824,0.74050106357088
Evan Mobley,30.477299104775202,pra,21.5,27.203374591503824,0.6937386516250599
Evan Mobley,30.477299104775202,pra,22.5,27.203374591503824,0.642802093572226
