stat,role_bucket,held_date,reason,raw_ll,new_ll,raw_br,new_br,n_val,method,mean_delta_logloss,mean_delta_brier,worst_fold_delta_logloss,worst_fold_delta_brier,frac_folds_logloss_improved,frac_folds_brier_nonworse,n_folds
fg3m,bench,2026-05-06,small_fold,,,,,,,,,,,,,
fg3m,bench,2026-05-06,small_fold,,,,,,,,,,,,,
fg3m,fringe,2026-04-27,small_fold,,,,,,,,,,,,,
fg3m,fringe,2026-04-27,small_fold,,,,,,,,,,,,,
fg3m,fringe,2026-04-27,small_fold,,,,,,,,,,,,,
fg3m,fringe,2026-04-27,small_fold,,,,,,,,,,,,,
fg3m,inactive_risk,2026-04-27,small_fold,,,,,,,,,,,,,
fg3m,inactive_risk,2026-04-27,small_fold,,,,,,,,,,,,,
fg3m,inactive_risk,2026-04-27,small_fold,,,,,,,,,,,,,
fg3m,inactive_risk,2026-04-27,small_fold,,,,,,,,,,,,,
fg3m,rotation,2026-05-12,small_fold,,,,,,,,,,,,,
fg3m,rotation,2026-05-12,small_fold,,,,,,,,,,,,,
fg3m,rotation,2026-05-12,small_fold,,,,,,,,,,,,,
fg3m,rotation,2026-05-12,small_fold,,,,,,,,,,,,,
pa,core,2026-05-07,small_fold,,,,,,,,,,,,,
pa,core,2026-05-07,small_fold,,,,,,,,,,,,,
pa,core,2026-05-07,small_fold,,,,,,,,,,,,,
pa,core,2026-05-07,small_fold,,,,,,,,,,,,,
pa,fringe,2026-04-27,small_fold,,,,,,,,,,,,,
pa,fringe,2026-04-27,small_fold,,,,,,,,,,,,,
pa,fringe,2026-04-27,small_fold,,,,,,,,,,,,,
pa,fringe,2026-04-27,small_fold,,,,,,,,,,,,,
pa,inactive_risk,2026-04-27,small_fold,,,,,,,,,,,,,
pa,inactive_risk,2026-04-27,small_fold,,,,,,,,,,,,,
pa,inactive_risk,2026-04-27,small_fold,,,,,,,,,,,,,
pa,inactive_risk,2026-04-27,small_fold,,,,,,,,,,,,,
pa,rotation,2026-05-07,small_fold,,,,,,,,,,,,,
pa,rotation,2026-05-07,small_fold,,,,,,,,,,,,,
pa,rotation,2026-05-07,small_fold,,,,,,,,,,,,,
pa,rotation,2026-05-07,small_fold,,,,,,,,,,,,,
pr,bench,2026-05-02,small_fold,,,,,,,,,,,,,
pr,bench,2026-05-02,small_fold,,,,,,,,,,,,,
pr,bench,2026-05-02,small_fold,,,,,,,,,,,,,
pr,bench,2026-05-02,small_fold,,,,,,,,,,,,,
pr,core,2026-05-07,small_fold,,,,,,,,,,,,,
pr,core,2026-05-07,small_fold,,,,,,,,,,,,,
pr,core,2026-05-07,small_fold,,,,,,,,,,,,,
pr,core,2026-05-07,small_fold,,,,,,,,,,,,,
pr,fringe,2026-04-27,small_fold,,,,,,,,,,,,,
pr,fringe,2026-04-27,small_fold,,,,,,,,,,,,,
pr,fringe,2026-04-27,small_fold,,,,,,,,,,,,,
pr,fringe,2026-04-27,small_fold,,,,,,,,,,,,,
pr,inactive_risk,2026-04-27,small_fold,,,,,,,,,,,,,
pr,inactive_risk,2026-04-27,small_fold,,,,,,,,,,,,,
pr,inactive_risk,2026-04-27,small_fold,,,,,,,,,,,,,
pr,inactive_risk,2026-04-27,small_fold,,,,,,,,,,,,,
pr,rotation,2026-05-07,small_fold,,,,,,,,,,,,,
pr,rotation,2026-05-07,small_fold,,,,,,,,,,,,,
pr,rotation,2026-05-07,small_fold,,,,,,,,,,,,,
pr,rotation,2026-05-07,small_fold,,,,,,,,,,,,,
pr,starter,2026-05-07,small_fold,,,,,,,,,,,,,
pr,starter,2026-05-07,small_fold,,,,,,,,,,,,,
pr,starter,2026-05-07,small_fold,,,,,,,,,,,,,
pr,starter,2026-05-07,small_fold,,,,,,,,,,,,,
pra,bench,2026-05-02,small_fold,,,,,,,,,,,,,
pra,bench,2026-05-02,small_fold,,,,,,,,,,,,,
pra,bench,2026-05-02,small_fold,,,,,,,,,,,,,
pra,bench,2026-05-02,small_fold,,,,,,,,,,,,,
pra,core,2026-05-07,small_fold,,,,,,,,,,,,,
pra,core,2026-05-07,small_fold,,,,,,,,,,,,,
pra,core,2026-05-07,small_fold,,,,,,,,,,,,,
pra,core,2026-05-07,small_fold,,,,,,,,,,,,,
pra,fringe,2026-04-27,small_fold,,,,,,,,,,,,,
pra,fringe,2026-04-27,small_fold,,,,,,,,,,,,,
