player_id,player_name,team,opponent,game_id,is_home,stat,line,book,market_over_odds,market_under_odds,market_no_vig_over_prob,model_p_over,edge,role_bucket,injury_freshness_status,lineup_freshness_status,market_coverage_status
257,Maxi Kleber,LAL,OKC,21708301,False,pts,,,,,,,,fringe,fresh,projected,full
257,Maxi Kleber,LAL,OKC,21708301,False,reb,,,,,,,,fringe,fresh,projected,full
257,Maxi Kleber,LAL,OKC,21708301,False,ast,,,,,,,,fringe,fresh,projected,full
257,Maxi Kleber,LAL,OKC,21708301,False,fg3m,,,,,,,,fringe,fresh,projected,full
257,Maxi Kleber,LAL,OKC,21708301,False,tov,,,,,,,,fringe,fresh,projected,full
420,Marcus Smart,LAL,OKC,21708301,False,pts,,,,,,,,starter,fresh,projected,full
420,Marcus Smart,LAL,OKC,21708301,False,reb,,,,,,,,starter,fresh,projected,full
420,Marcus Smart,LAL,OKC,21708301,False,ast,,,,,,,,starter,fresh,projected,full
420,Marcus Smart,LAL,OKC,21708301,False,fg3m,,,,,,,,starter,fresh,projected,full
420,Marcus Smart,LAL,OKC,21708301,False,tov,,,,,,,,starter,fresh,projected,full
480,Kenrich Williams,OKC,LAL,21708301,True,pts,,,,,,,,fringe,fresh,projected,full
480,Kenrich Williams,OKC,LAL,21708301,True,reb,,,,,,,,fringe,fresh,projected,full
480,Kenrich Williams,OKC,LAL,21708301,True,ast,,,,,,,,fringe,fresh,projected,full
480,Kenrich Williams,OKC,LAL,21708301,True,fg3m,,,,,,,,fringe,fresh,projected,full
480,Kenrich Williams,OKC,LAL,21708301,True,tov,,,,,,,,fringe,fresh,projected,full
666541,Luguentz Dort,OKC,LAL,21708301,True,pts,,,,,,,,core,fresh,projected,full
666541,Luguentz Dort,OKC,LAL,21708301,True,reb,,,,,,,,core,fresh,projected,full
666541,Luguentz Dort,OKC,LAL,21708301,True,ast,,,,,,,,core,fresh,projected,full
666541,Luguentz Dort,OKC,LAL,21708301,True,fg3m,,,,,,,,core,fresh,projected,full
666541,Luguentz Dort,OKC,LAL,21708301,True,tov,,,,,,,,core,fresh,projected,full
666609,Rui Hachimura,LAL,OKC,21708301,False,pts,,,,,,,,starter,fresh,projected,full
666609,Rui Hachimura,LAL,OKC,21708301,False,reb,,,,,,,,starter,fresh,projected,full
666609,Rui Hachimura,LAL,OKC,21708301,False,ast,,,,,,,,starter,fresh,projected,full
666609,Rui Hachimura,LAL,OKC,21708301,False,fg3m,,,,,,,,starter,fresh,projected,full
666609,Rui Hachimura,LAL,OKC,21708301,False,tov,,,,,,,,starter,fresh,projected,full
666626,Jaxson Hayes,LAL,OKC,21708301,False,pts,,,,,,,,bench,fresh,projected,full
666626,Jaxson Hayes,LAL,OKC,21708301,False,reb,,,,,,,,bench,fresh,projected,full
666626,Jaxson Hayes,LAL,OKC,21708301,False,ast,,,,,,,,bench,fresh,projected,full
666626,Jaxson Hayes,LAL,OKC,21708301,False,fg3m,,,,,,,,bench,fresh,projected,full
666626,Jaxson Hayes,LAL,OKC,21708301,False,tov,,,,,,,,bench,fresh,projected,full
1603383,Gabe Vincent,ATL,OKC,21708301,False,pts,,,,,,,,bench,fresh,projected,full
1603383,Gabe Vincent,ATL,OKC,21708301,False,reb,,,,,,,,bench,fresh,projected,full
1603383,Gabe Vincent,ATL,OKC,21708301,False,ast,,,,,,,,bench,fresh,projected,full
1603383,Gabe Vincent,ATL,OKC,21708301,False,fg3m,,,,,,,,bench,fresh,projected,full
1603383,Gabe Vincent,ATL,OKC,21708301,False,tov,,,,,,,,bench,fresh,projected,full
3547272,Isaiah Joe,OKC,LAL,21708301,True,pts,,,,,,,,bench,fresh,projected,full
3547272,Isaiah Joe,OKC,LAL,21708301,True,reb,,,,,,,,bench,fresh,projected,full
3547272,Isaiah Joe,OKC,LAL,21708301,True,ast,,,,,,,,bench,fresh,projected,full
3547272,Isaiah Joe,OKC,LAL,21708301,True,fg3m,,,,,,,,bench,fresh,projected,full
3547272,Isaiah Joe,OKC,LAL,21708301,True,tov,,,,,,,,bench,fresh,projected,full
17553995,Austin Reaves,LAL,OKC,21708301,False,pts,,,,,,,,starter,fresh,projected,full
17553995,Austin Reaves,LAL,OKC,21708301,False,reb,,,,,,,,starter,fresh,projected,full
17553995,Austin Reaves,LAL,OKC,21708301,False,ast,,,,,,,,starter,fresh,projected,full
17553995,Austin Reaves,LAL,OKC,21708301,False,fg3m,,,,,,,,starter,fresh,projected,full
17553995,Austin Reaves,LAL,OKC,21708301,False,tov,,,,,,,,starter,fresh,projected,full
17896078,Aaron Wiggins,OKC,LAL,21708301,True,pts,,,,,,,,bench,fresh,projected,full
17896078,Aaron Wiggins,OKC,LAL,21708301,True,reb,,,,,,,,bench,fresh,projected,full
17896078,Aaron Wiggins,OKC,LAL,21708301,True,ast,,,,,,,,bench,fresh,projected,full
17896078,Aaron Wiggins,OKC,LAL,21708301,True,fg3m,,,,,,,,bench,fresh,projected,full
17896078,Aaron Wiggins,OKC,LAL,21708301,True,tov,,,,,,,,bench,fresh,projected,full
38017685,Chet Holmgren,OKC,LAL,21708301,True,pts,,,,,,,,core,fresh,projected,full
38017685,Chet Holmgren,OKC,LAL,21708301,True,reb,,,,,,,,core,fresh,projected,full
38017685,Chet Holmgren,OKC,LAL,21708301,True,ast,,,,,,,,core,fresh,projected,full
38017685,Chet Holmgren,OKC,LAL,21708301,True,fg3m,,,,,,,,core,fresh,projected,full
38017685,Chet Holmgren,OKC,LAL,21708301,True,tov,,,,,,,,core,fresh,projected,full
38017706,Jaylin Williams,OKC,LAL,21708301,True,pts,,,,,,,,bench,fresh,projected,full
38017706,Jaylin Williams,OKC,LAL,21708301,True,reb,,,,,,,,bench,fresh,projected,full
38017706,Jaylin Williams,OKC,LAL,21708301,True,ast,,,,,,,,bench,fresh,projected,full
38017706,Jaylin Williams,OKC,LAL,21708301,True,fg3m,,,,,,,,bench,fresh,projected,full
38017706,Jaylin Williams,OKC,LAL,21708301,True,tov,,,,,,,,bench,fresh,projected,full
38017716,Ousmane Dieng,MIL,OKC,21708301,False,pts,,,,,,,,rotation,fresh,projected,full
38017716,Ousmane Dieng,MIL,OKC,21708301,False,reb,,,,,,,,rotation,fresh,projected,full
38017716,Ousmane Dieng,MIL,OKC,21708301,False,ast,,,,,,,,rotation,fresh,projected,full
38017716,Ousmane Dieng,MIL,OKC,21708301,False,fg3m,,,,,,,,rotation,fresh,projected,full
38017716,Ousmane Dieng,MIL,OKC,21708301,False,tov,,,,,,,,rotation,fresh,projected,full
38017728,Jake LaRavia,LAL,OKC,21708301,False,pts,,,,,,,,bench,fresh,projected,full
38017728,Jake LaRavia,LAL,OKC,21708301,False,reb,,,,,,,,bench,fresh,projected,full
38017728,Jake LaRavia,LAL,OKC,21708301,False,ast,,,,,,,,bench,fresh,projected,full
38017728,Jake LaRavia,LAL,OKC,21708301,False,fg3m,,,,,,,,bench,fresh,projected,full
38017728,Jake LaRavia,LAL,OKC,21708301,False,tov,,,,,,,,bench,fresh,projected,full
56677833,Cason Wallace,OKC,LAL,21708301,True,pts,,,,,,,,rotation,fresh,projected,full
56677833,Cason Wallace,OKC,LAL,21708301,True,reb,,,,,,,,rotation,fresh,projected,full
56677833,Cason Wallace,OKC,LAL,21708301,True,ast,,,,,,,,rotation,fresh,projected,full
56677833,Cason Wallace,OKC,LAL,21708301,True,fg3m,,,,,,,,rotation,fresh,projected,full
56677833,Cason Wallace,OKC,LAL,21708301,True,tov,,,,,,,,rotation,fresh,projected,full
56677838,Kobe Bufkin,LAL,OKC,21708301,False,pts,,,,,,,,fringe,fresh,projected,full
56677838,Kobe Bufkin,LAL,OKC,21708301,False,reb,,,,,,,,fringe,fresh,projected,full
56677838,Kobe Bufkin,LAL,OKC,21708301,False,ast,,,,,,,,fringe,fresh,projected,full
56677838,Kobe Bufkin,LAL,OKC,21708301,False,fg3m,,,,,,,,fringe,fresh,projected,full
56677838,Kobe Bufkin,LAL,OKC,21708301,False,tov,,,,,,,,fringe,fresh,projected,full
56677846,Nick Smith Jr.,LAL,OKC,21708301,False,pts,,,,,,,,fringe,fresh,projected,full
56677846,Nick Smith Jr.,LAL,OKC,21708301,False,reb,,,,,,,,fringe,fresh,projected,full
56677846,Nick Smith Jr.,LAL,OKC,21708301,False,ast,,,,,,,,fringe,fresh,projected,full
56677846,Nick Smith Jr.,LAL,OKC,21708301,False,fg3m,,,,,,,,fringe,fresh,projected,full
56677846,Nick Smith Jr.,LAL,OKC,21708301,False,tov,,,,,,,,fringe,fresh,projected,full
1028026974,Dalton Knecht,LAL,OKC,21708301,False,pts,,,,,,,,inactive_risk,fresh,projected,full
1028026974,Dalton Knecht,LAL,OKC,21708301,False,reb,,,,,,,,inactive_risk,fresh,projected,full
1028026974,Dalton Knecht,LAL,OKC,21708301,False,ast,,,,,,,,inactive_risk,fresh,projected,full
1028026974,Dalton Knecht,LAL,OKC,21708301,False,fg3m,,,,,,,,inactive_risk,fresh,projected,full
1028026974,Dalton Knecht,LAL,OKC,21708301,False,tov,,,,,,,,inactive_risk,fresh,projected,full
1028027372,Jared McCain,OKC,LAL,21708301,True,pts,,,,,,,,bench,fresh,projected,full
1028027372,Jared McCain,OKC,LAL,21708301,True,reb,,,,,,,,bench,fresh,projected,full
1028027372,Jared McCain,OKC,LAL,21708301,True,ast,,,,,,,,bench,fresh,projected,full
1028027372,Jared McCain,OKC,LAL,21708301,True,fg3m,,,,,,,,bench,fresh,projected,full
1028027372,Jared McCain,OKC,LAL,21708301,True,tov,,,,,,,,bench,fresh,projected,full
1028028932,Nikola Topic,OKC,LAL,21708301,True,pts,,,,,,,,inactive_risk,fresh,projected,full
1028028932,Nikola Topic,OKC,LAL,21708301,True,reb,,,,,,,,inactive_risk,fresh,projected,full
1028028932,Nikola Topic,OKC,LAL,21708301,True,ast,,,,,,,,inactive_risk,fresh,projected,full
1028028932,Nikola Topic,OKC,LAL,21708301,True,fg3m,,,,,,,,inactive_risk,fresh,projected,full
1028028932,Nikola Topic,OKC,LAL,21708301,True,tov,,,,,,,,inactive_risk,fresh,projected,full
1028037477,Ajay Mitchell,OKC,LAL,21708301,True,pts,,,,,,,,core,fresh,projected,full
1028037477,Ajay Mitchell,OKC,LAL,21708301,True,reb,,,,,,,,core,fresh,projected,full
1028037477,Ajay Mitchell,OKC,LAL,21708301,True,ast,,,,,,,,core,fresh,projected,full
1028037477,Ajay Mitchell,OKC,LAL,21708301,True,fg3m,,,,,,,,core,fresh,projected,full
1028037477,Ajay Mitchell,OKC,LAL,21708301,True,tov,,,,,,,,core,fresh,projected,full
1028046517,Bronny James,LAL,OKC,21708301,False,pts,,,,,,,,fringe,fresh,projected,full
1028046517,Bronny James,LAL,OKC,21708301,False,reb,,,,,,,,fringe,fresh,projected,full
1028046517,Bronny James,LAL,OKC,21708301,False,ast,,,,,,,,fringe,fresh,projected,full
1028046517,Bronny James,LAL,OKC,21708301,False,fg3m,,,,,,,,fringe,fresh,projected,full
1028046517,Bronny James,LAL,OKC,21708301,False,tov,,,,,,,,fringe,fresh,projected,full
1028218679,Branden Carlson,OKC,LAL,21708301,True,pts,,,,,,,,fringe,fresh,projected,full
1028218679,Branden Carlson,OKC,LAL,21708301,True,reb,,,,,,,,fringe,fresh,projected,full
1028218679,Branden Carlson,OKC,LAL,21708301,True,ast,,,,,,,,fringe,fresh,projected,full
1028218679,Branden Carlson,OKC,LAL,21708301,True,fg3m,,,,,,,,fringe,fresh,projected,full
1028218679,Branden Carlson,OKC,LAL,21708301,True,tov,,,,,,,,fringe,fresh,projected,full
1046672580,Drew Timme,LAL,OKC,21708301,False,pts,,,,,,,,fringe,fresh,projected,full
1046672580,Drew Timme,LAL,OKC,21708301,False,reb,,,,,,,,fringe,fresh,projected,full
1046672580,Drew Timme,LAL,OKC,21708301,False,ast,,,,,,,,fringe,fresh,projected,full
1046672580,Drew Timme,LAL,OKC,21708301,False,fg3m,,,,,,,,fringe,fresh,projected,full
1046672580,Drew Timme,LAL,OKC,21708301,False,tov,,,,,,,,fringe,fresh,projected,full
1057386376,Adou Thiero,LAL,OKC,21708301,False,pts,,,,,,,,inactive_risk,fresh,projected,full
1057386376,Adou Thiero,LAL,OKC,21708301,False,reb,,,,,,,,inactive_risk,fresh,projected,full
1057386376,Adou Thiero,LAL,OKC,21708301,False,ast,,,,,,,,inactive_risk,fresh,projected,full
1057386376,Adou Thiero,LAL,OKC,21708301,False,fg3m,,,,,,,,inactive_risk,fresh,projected,full
1057386376,Adou Thiero,LAL,OKC,21708301,False,tov,,,,,,,,inactive_risk,fresh,projected,full
1057392335,Brooks Barnhizer,OKC,LAL,21708301,True,pts,,,,,,,,fringe,fresh,projected,full
1057392335,Brooks Barnhizer,OKC,LAL,21708301,True,reb,,,,,,,,fringe,fresh,projected,full
1057392335,Brooks Barnhizer,OKC,LAL,21708301,True,ast,,,,,,,,fringe,fresh,projected,full
1057392335,Brooks Barnhizer,OKC,LAL,21708301,True,fg3m,,,,,,,,fringe,fresh,projected,full
1057392335,Brooks Barnhizer,OKC,LAL,21708301,True,tov,,,,,,,,fringe,fresh,projected,full
