stat,role_bucket,n,raw_nll,calibrated_nll,delta_nll_cal_minus_raw,raw_rps,calibrated_rps,delta_rps_cal_minus_raw,raw_mean,calibrated_mean,actual_mean,raw_mean_bias,calibrated_mean_bias,raw_p0,calibrated_p0,actual_p0,raw_p0_error,calibrated_p0_error,pit_mean,pit_std,pit_ks,ece,nll_threshold,caveats,status
reb,core,2098,2.339241953426208,2.279516478877806,-0.05972547454840216,1.4293172842275716,1.3793550517285849,-0.04996223249898679,4.402490507711165,4.679439815772319,4.795042897998093,-0.39255239028692834,-0.11560308222577387,0.10912499956463813,0.0641033193212571,0.04194470924690181,0.06718029031773631,0.022158610074355288,0.5181684281099537,0.27310052699174214,0.05282454289960928,0.029091142479541848,0.005,,PASS
reb,starter,1336,2.4423462250478662,2.3842329274769942,-0.058113297570872025,1.5663832198086292,1.523403730275728,-0.042979489532901205,5.427825476706162,5.604192379253751,5.703592814371257,-0.2757673376650951,-0.09940043511750574,0.06857601147372137,0.042317774815102786,0.02619760479041916,0.042378406683302214,0.016120170024683626,0.5129529291076972,0.2766093769143893,0.044901020999401464,0.019176241701130414,0.003,,PASS
ast,inactive_risk,593,1.4360386929816211,1.4244575139474627,-0.01158117903415845,0.7287445290079018,0.709154271177598,-0.01959025783030377,1.1859424145899693,1.1851312086582515,1.5126475548060707,-0.3267051402161014,-0.3275163461478192,0.5914695692166181,0.5559876854523342,0.4806070826306914,0.11086248658592668,0.07538060282164283,0.5543013847080436,0.2967662277968376,0.08940791884473953,0.07640500507792423,0.005,,PASS
ast,fringe,607,1.1668312610208118,1.1558900507106082,-0.010941210310203564,0.508915870881855,0.5068144026429666,-0.0021014682388883488,0.7097905864113934,0.6372110725433381,0.7084019769357496,0.0013886094756437872,-0.07119090439241149,0.6608111376538942,0.6320934901149572,0.5947281713344317,0.06608296631946253,0.037365318780525514,0.5281282347417826,0.2890456443892767,0.05782612628868855,0.055191203660442036,0.005,,PASS
ast,bench,1379,1.4527216557725147,1.4155812115292616,-0.037140444243253024,0.6618432596430855,0.6503731317477004,-0.011470127895385152,1.0967843464292326,1.0713996516644904,1.160261058738216,-0.06347671230898344,-0.0888614070737257,0.5343176827652473,0.4722203937848869,0.4234952864394489,0.11082239632579838,0.048725107345438,0.5166391351634337,0.29479553482302695,0.03595639112941029,0.03332210924552132,0.005,,PASS
ast,rotation,1940,1.8097562867738115,1.745804901905145,-0.06395138486866658,0.8855057460212873,0.8527794798723456,-0.032726266148941696,1.7967292689267464,1.974992844062996,2.0015463917525773,-0.20481712282583087,-0.02655354768958129,0.3688526609592304,0.26336505246930575,0.22268041237113403,0.14617224858809638,0.040684640098171715,0.5083605080199914,0.2769126130582415,0.03744017188493512,0.01549980126678925,0.005,,PASS
ast,core,2098,2.0223158340465988,1.9618899636042693,-0.0604258704423295,1.0741030029352396,1.0375374267426192,-0.036565576192620464,2.7923800853596097,3.0544936735717205,3.0085795996186846,-0.2161995142590749,0.04591407395303593,0.23158024112013728,0.1562814534331925,0.12774070543374644,0.10383953568639084,0.02854074799944606,0.48936444967250303,0.2720246101797859,0.046069220500654984,0.042113500570875595,0.005,,PASS
ast,starter,1336,2.253199239406104,2.1964087965554833,-0.056790442850620515,1.3217759352214888,1.284473349052606,-0.037302586168882934,4.245429179734235,4.475369838495514,4.494011976047904,-0.24858279631366909,-0.018642137552390636,0.12272806246522643,0.07780118868439186,0.04565868263473054,0.07706937983049589,0.03214250604966132,0.49882214263119873,0.27626950924994764,0.03663544989624663,0.029031636399990922,0.003,,PASS
fg3m,inactive_risk,593,2.8137013826540493,2.795761121802393,-0.017940260851656564,0.4565924122305742,0.4494932756494422,-0.007099136581131982,0.6009236811129849,0.5989410342423667,0.6964586846543002,-0.09553500354131528,-0.0975176504119335,0.6779813656195343,0.6917997932195301,0.6408094435075885,0.037171922111945754,0.05099034971194161,0.5272095191779631,0.3240268179134309,0.11178868524163421,0.17583748253197168,0.005,,PASS
fg3m,fringe,607,2.204680381312306,2.166754387749089,-0.03792599356321702,0.32667668368279823,0.3107538352124067,-0.01592284847039155,0.39212722734761124,0.37060559767002227,0.31960461285008235,0.07252261449752889,0.05100098481993992,0.7089492011123122,0.7348173655155358,0.7792421746293245,-0.07029297351701236,-0.044424809113788766,0.4753277462910941,0.3100263368649323,0.0836424379396421,0.19790633335795763,0.005,,PASS
