stat,role_bucket,book,line,player_id,model_logloss,market_logloss,delta_logloss,model_brier,market_brier,delta_brier,model_p_over,market_no_vig_over_prob,actual_outcome,is_push
fg3m,core,draftkings,1.5,447,0.6074523683442635,0.5971710986186246,0.01028126972563892,0.20726449774558464,0.20217040289558996,0.005094094849994679,0.4552631082633257,0.4496336318555252,0,False
fg3m,core,fliff,1.5,447,0.6074523683442635,0.5731295071021454,0.03432286124211814,0.20726449774558464,0.19030674293950717,0.016957754806077474,0.4552631082633257,0.43624161073825496,0,False
fg3m,core,hardrockbet_az,1.5,447,0.6074523683442635,0.5739095991925673,0.03354276915169618,0.20726449774558464,0.19069049026525045,0.01657400748033419,0.4552631082633257,0.43668122270742354,0,False
fg3m,core,hardrockbet,1.5,447,0.6074523683442635,0.5739095991925673,0.03354276915169618,0.20726449774558464,0.19069049026525045,0.01657400748033419,0.4552631082633257,0.43668122270742354,0,False
fg3m,core,espnbet,1.5,447,0.6074523683442635,0.5903376866937241,0.01711468165053942,0.20726449774558464,0.19879102600511173,0.008473471740472915,0.4552631082633257,0.4458598726114649,0,False
pts,rotation,fanduel,12.5,666682,0.3866848871892636,0.6931471805599453,-0.3064622933706817,0.10284520673206497,0.25,-0.147154793267935,0.3206948810506101,0.5,11,False
pts,rotation,draftkings,12.5,666682,0.3866848871892636,0.8475228069633406,-0.460837919774077,0.10284520673206497,0.3266407870605612,-0.22379558032849622,0.3206948810506101,0.5715249662618084,11,False
pts,rotation,hardrockbet,11.5,666682,0.47385131119858576,0.6931471805599453,-0.21929586936135953,0.1424308963874178,0.25,-0.1075691036125822,0.377400180693409,0.5,11,False
pts,rotation,fliff,12.5,666682,0.3866848871892636,0.7944689391622569,-0.40778405197299333,0.10284520673206497,0.3005000891687875,-0.19765488243672252,0.3206948810506101,0.5481788842784694,11,False
pts,rotation,hardrockbet_fl,13.5,666682,0.3183943689349126,0.5531011069142289,-0.2347067379793163,0.07435661781944307,0.18048613781024386,-0.1061295199908008,0.27268409894866086,0.4248366013071895,11,False
pts,rotation,hardrockbet_az,11.5,666682,0.47385131119858576,0.6931471805599453,-0.21929586936135953,0.1424308963874178,0.25,-0.1075691036125822,0.377400180693409,0.5,11,False
reb,rotation,draftkings,2.5,666682,1.3917692890100757,0.8900856979555297,0.501683591054546,0.5645493511230513,0.3473681220529245,0.21718122907012677,0.7513649919466912,0.5893794380981784,2,False
reb,rotation,bovada,2.5,666682,1.3917692890100757,1.054043969188233,0.3377253198218426,0.5645493511230513,0.4244190643216008,0.14013028680145045,0.7513649919466912,0.6514745308310992,2,False
