stat,role_bucket,n_rows,n_dates,best_candidate,best_oof_delta_logloss,best_oof_delta_brier,best_bootstrap_upper_logloss_delta,best_bootstrap_upper_brier_delta,calibration_pass,reason_not_passable,required_missing_signal
pa,rotation,760,14,event_neutral_prob_scale + pmf_mean_shift + guarded_event_calibration,0.02968747302568897,0.013738416788502572,0.0484072254347746,0.0226083468376248,False,model has no non-leaking edge beyond market,higher-signal pregame role/injury context with reliable market-aligned IDs
pts,core,4922,16,event_neutral_prob_scale + pmf_mean_shift + guarded_event_calibration,0.028160100084465567,0.01333409958211662,0.0330106235217948,0.0156817623541059,False,model has no non-leaking edge beyond market,higher-signal pregame role/injury context with reliable market-aligned IDs
ra,core,1817,14,event_neutral_prob_scale + pmf_mean_shift + guarded_event_calibration,0.02365354531446484,0.011260010589584507,0.0337958309268819,0.0160035575457013,False,model has no non-leaking edge beyond market,higher-signal pregame role/injury context with reliable market-aligned IDs
pr,bench,604,13,event_neutral_prob_scale + pmf_mean_shift + guarded_event_calibration,0.019572174495391947,0.0055656982996060145,0.0461487431409372,0.017204251389916,False,model has no non-leaking edge beyond market,higher-signal pregame role/injury context with reliable market-aligned IDs
fg3m,core,2021,16,event_neutral_prob_scale + pmf_mean_shift + guarded_event_calibration,0.018591741970793163,0.007071778888824598,0.0282530425787797,0.0111122665343465,False,model has no non-leaking edge beyond market,higher-signal pregame role/injury context with reliable market-aligned IDs
reb,core,3154,16,event_neutral_prob_scale + pmf_mean_shift + guarded_event_calibration,0.013429209771740336,0.006574237968920094,0.0202612598290427,0.0095364170661534,False,model has no non-leaking edge beyond market,higher-signal pregame role/injury context with reliable market-aligned IDs
fg3m,rotation,1004,16,event_neutral_prob_scale + pmf_mean_shift + guarded_event_calibration,0.012259444125367946,0.002144290606122201,0.0301764052093303,0.009261192930786,False,model has no non-leaking edge beyond market,higher-signal pregame role/injury context with reliable market-aligned IDs
ast,starter,2616,16,event_neutral_prob_scale + pmf_mean_shift + guarded_event_calibration,0.008585323074289608,0.004004331412142098,0.0191389481157749,0.009136627318343,False,model has no non-leaking edge beyond market,higher-signal pregame role/injury context with reliable market-aligned IDs
pts,bench,1472,15,event_neutral_prob_scale + pmf_mean_shift + guarded_event_calibration,0.006180057800499239,0.000163234589495298,0.0212791720843149,0.0060878371058242,False,model has no non-leaking edge beyond market,higher-signal pregame role/injury context with reliable market-aligned IDs
ra,starter,2175,14,event_neutral_prob_scale + pmf_mean_shift + guarded_event_calibration,0.0050844547039506915,0.0014728693333067033,0.0167110809158064,0.0066693479468541,False,model has no non-leaking edge beyond market,higher-signal pregame role/injury context with reliable market-aligned IDs
reb,starter,2828,16,event_neutral_prob_scale + pmf_mean_shift + guarded_event_calibration,0.004740182883756772,0.002515704218138487,0.0129345896752629,0.00656469913372,False,model has no non-leaking edge beyond market,higher-signal pregame role/injury context with reliable market-aligned IDs
fg3m,starter,2289,16,event_neutral_prob_scale + pmf_mean_shift + guarded_event_calibration,0.004710845849205114,0.002893906297402299,0.0112662046207737,0.0059008695864785,False,model has no non-leaking edge beyond market,higher-signal pregame role/injury context with reliable market-aligned IDs
pts,rotation,2328,16,event_neutral_prob_scale + pmf_mean_shift + guarded_event_calibration,0.004474248543200665,0.001364122250351818,0.0136896174799044,0.005677864090074,False,model has no non-leaking edge beyond market,higher-signal pregame role/injury context with reliable market-aligned IDs
