date,step,rc,tail,quota_lines
2026-05-05,build_backtest_delivery_range,0,"STAT_GRID_MISSION_STATS_CONTRACT_PASS {""row_counts"": {""pts"": 70, ""reb"": 70, ""ast"": 70, ""fg3m"": 70, ""tov"": 70, ""stl"": 70, ""blk"": 70, ""stocks"": 70, ""pa"": 70, ""pr"": 70, ""ra"": 70, ""pra"": 70}}
rebuild_command: /opt/homebrew/opt/python@3.10/bin/python3.10 scripts/build_stat_grid_pmfs.py --date <DATE> --stats pts reb ast fg3m tov stl blk stocks pa pr ra pra
BACKTEST_DELIVERY_RANGE_PASS wrote artifacts/model_diagnostics/backtest_delivery_range_2026-05-05_2026-05-05.json failures=0
",
2026-05-05,verify_stat_grid_mission_stats_contract,0,"STAT_GRID_MISSION_STATS_CONTRACT_PASS {""row_counts"": {""pts"": 70, ""reb"": 70, ""ast"": 70, ""fg3m"": 70, ""tov"": 70, ""stl"": 70, ""blk"": 70, ""stocks"": 70, ""pa"": 70, ""pr"": 70, ""ra"": 70, ""pra"": 70}}
rebuild_command: /opt/homebrew/opt/python@3.10/bin/python3.10 scripts/build_stat_grid_pmfs.py --date <DATE> --stats pts reb ast fg3m tov stl blk stocks pa pr ra pra
",
2026-05-05,verify_canonical_model_only_rectangularity,0,"CANONICAL_MODEL_ONLY_RECTANGULARITY_PASS
  rows=840 per_stat=70 stats=['ast', 'blk', 'fg3m', 'pa', 'pr', 'pra', 'pts', 'ra', 'reb', 'stl', 'stocks', 'tov']
",
2026-05-05,build_event_market_loss_rows,0,"M8_6Q_EVENT_MARKET_LOSS_ROWS_BUILD_PASS
  rows=8484 matched=4146 scored_all_fields=4146
  wrote: artifacts/model_diagnostics/event_market_loss_rows_2026-05-05.parquet
  pmf_col_single=pmf pmf_col_combo=pmf
  sign_convention=model_minus_market_negative_better
",
2026-05-06,skip_eligible_inventory,0,,
2026-05-07,eligible_but_stat_grid_contract_fail_override_force,0,"STAT_GRID_MISSION_STATS_CONTRACT_FAIL {
  ""path"": ""/Users/josephshackelford/repos/nba-player-props-model-pmf-fix/predictions/stat_grid_2026-05-07.parquet"",
  ""missing_stats"": [
    ""stl"",
    ""blk"",
    ""stocks"",
    ""pa"",
    ""pr"",
    ""ra"",
    ""pra""
  ],
  ""zero_row_stats"": [
    ""stl"",
    ""blk"",
    ""stocks"",
    ""pa"",
    ""pr"",
    ""ra"",
    ""pra""
  ],
  ""row_counts"": {
    ""pts"": 66,
    ""reb"": 66,
    ""ast"": 66,
    ""fg3m"": 66,
    ""tov"": 66
  },
  ""pmf_invalid_sample"": [],
  ""error"": ""mission_stat_coverage""
}
recommended_rebuild: /opt/homebrew/opt/python@3.10/bin/python3.10 /Users/josephshackelford/repos/nba-player-props-model-pmf-fix/scripts/build_stat_grid_pmfs.py --date 2026-05-07 --stats pts reb ast fg3m tov stl blk stocks pa pr ra pra
",
2026-05-07,build_backtest_delivery_range,0,"STAT_GRID_MISSION_STATS_CONTRACT_PASS {""row_counts"": {""pts"": 70, ""reb"": 70, ""ast"": 70, ""fg3m"": 70, ""tov"": 70, ""stl"": 70, ""blk"": 70, ""stocks"": 70, ""pa"": 70, ""pr"": 70, ""ra"": 70, ""pra"": 70}}
rebuild_command: /opt/homebrew/opt/python@3.10/bin/python3.10 scripts/build_stat_grid_pmfs.py --date <DATE> --stats pts reb ast fg3m tov stl blk stocks pa pr ra pra
BACKTEST_DELIVERY_RANGE_PASS wrote artifacts/model_diagnostics/backtest_delivery_range_2026-05-07_2026-05-07.json failures=0
BAD_STAT_GRID_MISSION_STATS 2026-05-07
STAT_GRID_MISSION_STATS_CONTRACT_FAIL {
  ""path"": ""/Users/josephshackelford/repos/nba-player-props-model-pmf-fix/predictions/stat_grid_2026-05-07.parquet"",
  ""missing_stats"": [
    ""stl"",
    ""blk"",
    ""stocks"",
    ""pa"",
    ""pr"",
    ""ra"",
    ""pra""
  ],
  ""zero_row_stats"": [
    ""stl"",
    ""blk"",
    ""stocks"",
    ""pa"",
    ""pr"",
    ""ra"",
    ""pra""
  ],
  ""row_counts"": {
    ""pts"": 66,
    ""reb"": 66,
    ""ast"": 66,
    ""fg3m"": 66,
    ""tov"": 66
  },
  ""pmf_invalid_sample"": [],
  ""error"": ""mission_stat_coverage""
}
recommended_rebuild: /opt/homebrew/opt/python@3.10/bin/python3.10 /Users/josephshackelford/repos/nba-player-props-model-pmf-fix/scripts/build_stat_grid_pmfs.py --date 2026-05-07 --stats pts reb ast fg3m tov stl blk stocks pa pr ra pra
",
2026-05-07,verify_stat_grid_mission_stats_contract,0,"STAT_GRID_MISSION_STATS_CONTRACT_PASS {""row_counts"": {""pts"": 70, ""reb"": 70, ""ast"": 70, ""fg3m"": 70, ""tov"": 70, ""stl"": 70, ""blk"": 70, ""stocks"": 70, ""pa"": 70, ""pr"": 70, ""ra"": 70, ""pra"": 70}}
rebuild_command: /opt/homebrew/opt/python@3.10/bin/python3.10 scripts/build_stat_grid_pmfs.py --date <DATE> --stats pts reb ast fg3m tov stl blk stocks pa pr ra pra
",
2026-05-07,verify_canonical_model_only_rectangularity,0,"CANONICAL_MODEL_ONLY_RECTANGULARITY_PASS
  rows=840 per_stat=70 stats=['ast', 'blk', 'fg3m', 'pa', 'pr', 'pra', 'pts', 'ra', 'reb', 'stl', 'stocks', 'tov']
",
2026-05-07,build_event_market_loss_rows,0,"M8_6Q_EVENT_MARKET_LOSS_ROWS_BUILD_PASS
  rows=1502 matched=864 scored_all_fields=864
  wrote: artifacts/model_diagnostics/event_market_loss_rows_2026-05-07.parquet
  pmf_col_single=pmf pmf_col_combo=pmf
  sign_convention=model_minus_market_negative_better
",
