player_id,player_name,stat,line,actual,p_realized,model_p_over,market_no_vig_over_prob,over_realized,nll
3547238,Anthony Edwards,ast,,2,0.1933951076791366,,,,1.6430199926679248
3547238,Anthony Edwards,fg3m,,1,0.3003990897988248,,,,1.202643389060713
3547238,Anthony Edwards,tov,,4,0.11629405553501862,,,,2.1516333339623066
3547246,Devin Vassell,pts,,12,0.05616202381486923,,,,2.8795144833243316
3547246,Devin Vassell,reb,,3,0.1343031259303724,,,,2.0076558999950613
3547246,Devin Vassell,ast,,2,0.1975649901705802,,,,1.6216876846158585
3547246,Devin Vassell,fg3m,,2,0.2856553762871888,,,,1.252969172748843
3547246,Devin Vassell,tov,,1,0.2950682437666825,,,,1.2205486145937732
3547246,Devin Vassell,blk,,1,0.34905768154870026,,,,1.0525180937925493
3547259,Jaden McDaniels,pts,,17,0.05467674132626549,,,,2.9063168642521977
3547259,Jaden McDaniels,reb,,6,0.12774609649409863,,,,2.0577106061843504
3547259,Jaden McDaniels,ast,,2,0.18778655007438627,,,,1.6724493331199417
3547259,Jaden McDaniels,fg3m,,3,0.0982172673314757,,,,2.320573240673411
3547259,Jaden McDaniels,tov,,2,0.2279965012671872,,,,1.4784249954647912
3547259,Jaden McDaniels,stl,,1,0.3093965646254573,,,,1.1731314442485201
17895983,Ayo Dosunmu,pts,,16,0.03998454074244212,,,,3.2192623810103473
17895983,Ayo Dosunmu,reb,,9,0.02510933377615191,,,,3.6845156383768187
17895983,Ayo Dosunmu,ast,,4,0.1271925727798519,,,,2.0620530198763873
17895983,Ayo Dosunmu,fg3m,,1,0.3435684078716204,,,,1.0683690375938928
17895983,Ayo Dosunmu,tov,,2,0.22477666286276543,,,,1.492647979239586
17895983,Ayo Dosunmu,stl,,3,0.003855882658372209,,,,5.558155333616938
17895983,Ayo Dosunmu,blk,,2,0.02241104275456665,,,,3.7982014614813355
17896031,Nah'Shon Hyland,reb,,1,0.23522177430657287,,,,1.4472264894086602
17896031,Nah'Shon Hyland,tov,,1,0.22617143958391445,,,,1.4864619850582157
27924547,Lindy Waters III,pts,,3,0.0771608071397537,,,,2.5618636304011644
27924547,Lindy Waters III,fg3m,,1,0.38972813096250386,,,,0.9423058830418383
38017649,Julian Champagnie,pts,,8,0.07180460108186537,,,,2.6338067230609865
38017649,Julian Champagnie,reb,,4,0.1352538405995325,,,,2.000601965359028
38017649,Julian Champagnie,fg3m,,2,0.27685375339899554,,,,1.2842658782865675
38017649,Julian Champagnie,stl,,2,0.14701519344352704,,,,1.9172193407856553
56677822,Victor Wembanyama,reb,,17,0.015484142197994148,,,,4.167938862764978
56677822,Victor Wembanyama,ast,,5,0.032199786915704,,,,3.4357954439783907
56677822,Victor Wembanyama,fg3m,,2,0.27164650749755825,,,,1.303253662693211
56677822,Victor Wembanyama,tov,,4,0.08606478836931156,,,,2.452654913225131
56677822,Victor Wembanyama,blk,,3,0.15470569393748668,,,,1.8662307157618574
1028025261,Stephon Castle,pts,,17,0.045968080832623104,,,,3.07980801829254
1028025261,Stephon Castle,reb,,4,0.14937233219286783,,,,1.9013132162525508
1028025261,Stephon Castle,ast,,6,0.12045049461525736,,,,2.116516443534857
1028025261,Stephon Castle,tov,,4,0.1352060884322676,,,,2.000955083604174
1028025261,Stephon Castle,stl,,2,0.18465515818068187,,,,1.6892652031661721
1028025261,Stephon Castle,blk,,1,0.2211240745423235,,,,1.509031311735034
1028028501,Terrence Shannon Jr.,pts,,2,0.05343368742815291,,,,2.9293138812041786
1028028501,Terrence Shannon Jr.,ast,,4,0.04070456706208482,,,,3.2014149800013394
1028028501,Terrence Shannon Jr.,tov,,2,0.145643662539021,,,,1.9265923080989005
1057262518,Dylan Harper,pts,,12,0.05988742059191249,,,,2.815288802728065
1057262518,Dylan Harper,reb,,10,0.01698652532155737,,,,4.075334877365383
1057262518,Dylan Harper,ast,,2,0.20956585176554898,,,,1.5627172607742044
1057262518,Dylan Harper,tov,,2,0.20974985671113786,,,,1.5618396167762332
1057262518,Dylan Harper,stl,,1,0.38461427954106975,,,,0.9555143182247826
1057262518,Dylan Harper,blk,,1,0.22139354490539095,,,,1.507813414934848
1057271099,Joan Beringer,pts,,3,0.09845681048253746,,,,2.3181372992196665
1057271099,Joan Beringer,reb,,3,0.11010449813716602,,,,2.206325381072914
1057271099,Joan Beringer,tov,,1,0.19455007091423376,,,,1.6370657150477408
1057271099,Joan Beringer,blk,,1,0.1787083889301104,,,,1.7219999137098116
1057271360,Carter Bryant,pts,,3,0.09838021657726775,,,,2.318915546181427
1057271360,Carter Bryant,reb,,4,0.09070672825533516,,,,2.4001237431863855
1057271360,Carter Bryant,ast,,2,0.1324061784985247,,,,2.0218809711713126
1057271360,Carter Bryant,fg3m,,1,0.3902428360044966,,,,0.940986077206738
1057271360,Carter Bryant,tov,,1,0.2121898245612701,,,,1.5502740060666491
