date,game_id,player_id,player_name,stat,role_bucket,line,model_prob_over,market_probability_for_side,market_prob_over_no_vig,hit_result,actual,model_mean,model_variance,model_p0,actual_minutes,odds_snapshot_family,bookmaker_key,model_event_logloss,market_event_logloss,logloss_gap
2026-05-06,21707973.0,38017649.0,Julian Champagnie,blk,core,0.5,0.0,0.3549157489717394,0.3549157489717394,1.0,1.0,0.0,0.0,1.0,,hist_lockday,draftkings,27.631021115928547,1.035874844513363,26.595146271415185
2026-05-06,21707973.0,38017649.0,Julian Champagnie,blk,core,0.5,0.0,0.35437430786268,0.35437430786268,1.0,1.0,0.0,0.0,1.0,,hist_lockday,bovada,27.631021115928547,1.0374015576232132,26.593619558305335
2026-05-06,21707973.0,1028025261.0,Stephon Castle,stl,core,1.5,0.0,0.34700315457413244,0.34700315457413244,1.0,2.0,0.0,0.0,1.0,,hist_lockday,bovada,27.631021115928547,1.0584214080848646,26.572599707843683
2026-05-06,21707973.0,387.0,Julius Randle,stocks,starter,1.5,0.0,0.34586890419117877,0.34586890419117877,1.0,2.0,0.0,0.0,1.0,,hist_lockday,draftkings,27.631021115928547,1.0616954653420918,26.569325650586457
2026-05-06,21707973.0,1028025261.0,Stephon Castle,stl,core,1.5,0.0,0.3447416514371158,0.3447416514371158,1.0,2.0,0.0,0.0,1.0,,hist_lockday,draftkings,27.631021115928547,1.064959978882972,26.566061137045576
2026-05-06,21707973.0,38017649.0,Julian Champagnie,blk,core,0.5,0.0,0.30859375,0.30859375,1.0,1.0,0.0,0.0,1.0,,hist_lockday,betmgm,27.631021115928547,1.175729592012541,26.455291523916006
2026-05-06,21707973.0,17895983.0,Ayo Dosunmu,blk,core,0.5,0.0,0.24014499320344357,0.24014499320344357,1.0,1.0,0.0,0.0,1.0,,hist_lockday,bovada,27.631021115928547,1.4265123997105689,26.20450871621798
2026-05-06,21707973.0,17895983.0,Ayo Dosunmu,blk,core,0.5,0.0,0.23611738148984202,0.23611738148984202,1.0,1.0,0.0,0.0,1.0,,hist_lockday,draftkings,27.631021115928547,1.443426218414313,26.187594897514234
2026-05-07,21708301.0,1028027372.0,Jared McCain,fg3m,fringe,2.5,0.0,0.17647058823529413,0.17647058823529413,1.0,4.0,0.7194240000000001,0.4608457482240001,0.41007232000000016,,close_or_lock,espnbet,27.631021115928547,1.7346010553881064,25.89642006054044
2026-05-06,21708674.0,137.0,Andre Drummond,reb,fringe,7.5,0.06600000000000003,0.6875,0.6875,1.0,8.0,2.616,9.038544000000003,0.2700000000000001,,hist_lockday,bovada,2.718100536955711,0.3746934494414107,2.3434070875143007
2026-05-06,21708674.0,137.0,Andre Drummond,reb,fringe,5.5,0.13366666666666666,0.8011363636363636,0.8011363636363636,1.0,8.0,2.616,9.038544000000003,0.2700000000000001,,hist_lockday,fanduel,2.0124061403436775,0.2217241046599835,1.790682035683694
2026-05-07,21708301.0,666609.0,Rui Hachimura,fg3m,starter,3.5,0.03580610062500002,0.1946624803767661,0.1946624803767661,1.0,4.0,1.7400000000000004,0.9831000000000002,0.10190460062499997,,close_or_lock,espnbet,3.3296369915738113,1.6364880899671266,1.6931489016066847
2026-05-06,21708674.0,137.0,Andre Drummond,pts,fringe,5.5,0.13699999999999998,0.6456256921373201,0.6456256921373201,1.0,6.0,2.4336666666666664,11.779599888888889,0.3596666666666667,,hist_lockday,bovada,1.9877743531540122,0.43753536706649293,1.5502389860875192
