date,path,exists,size_bytes,row_count,file_type
2026-05-04,deliveries/2026-05-04/derek_review_examples/missing_projection_audit.csv,True,17269,,.csv
2026-05-04,deliveries/2026-05-04/derek_review_examples/player_difference_decomposition.csv,True,3279,,.csv
2026-05-04,deliveries/2026-05-04/pmf_model_review_package/01_START_HERE.html,True,3916,,.html
2026-05-04,deliveries/2026-05-04/pmf_model_review_package/02_MODEL_REVIEW_OVERVIEW.html,True,2676,,.html
2026-05-04,deliveries/2026-05-04/pmf_model_review_package/03_PMF_DISTRIBUTION_VIEWER.html,True,2517847,,.html
2026-05-04,deliveries/2026-05-04/pmf_model_review_package/04_PROP_SUMMARY.csv,True,395006,,.csv
2026-05-04,deliveries/2026-05-04/pmf_model_review_package/04_PROP_SUMMARY.parquet,True,48504,0.0,.parquet
2026-05-04,deliveries/2026-05-04/pmf_model_review_package/05_FULL_PMF_WIDE.csv,True,1440992,,.csv
2026-05-04,deliveries/2026-05-04/pmf_model_review_package/05_FULL_PMF_WIDE.parquet,True,736054,0.0,.parquet
2026-05-04,deliveries/2026-05-04/pmf_model_review_package/06_OUTCOME_LEVEL_PROBABILITIES.csv,True,16981750,,.csv
2026-05-04,deliveries/2026-05-04/pmf_model_review_package/06_OUTCOME_LEVEL_PROBABILITIES.parquet,True,302498,0.0,.parquet
2026-05-04,deliveries/2026-05-04/pmf_model_review_package/MODEL_PERFORMANCE_AND_CALIBRATION.md,True,858,,.md
2026-05-04,deliveries/2026-05-04/pmf_model_review_package/README.md,True,1936,,.md
2026-05-04,deliveries/2026-05-04/pmf_model_review_package/after_game_scoring.csv,True,63737,,.csv
2026-05-04,deliveries/2026-05-04/pmf_model_review_package/after_game_scoring.parquet,True,64408,0.0,.parquet
2026-05-04,deliveries/2026-05-04/pmf_model_review_package/after_game_summary.md,True,1084,,.md
2026-05-04,deliveries/2026-05-04/pmf_model_review_package/machine_readable/model_only.csv,True,1440992,,.csv
2026-05-04,deliveries/2026-05-04/pmf_model_review_package/machine_readable/model_only.jsonl,True,2184369,,.jsonl
2026-05-04,deliveries/2026-05-04/pmf_model_review_package/machine_readable/model_only.parquet,True,736054,0.0,.parquet
2026-05-04,deliveries/2026-05-04/pmf_model_review_package/run_manifest.champion_stamp.json,True,919,,.json
2026-05-04,deliveries/2026-05-04/pmf_model_review_package/run_manifest.json,True,3717,,.json
2026-05-04,deliveries/2026-05-04/wizard_of_odds/README.md,True,3244,,.md
2026-05-04,deliveries/2026-05-04/wizard_of_odds/after_game_clv_and_scoring.csv,True,63737,,.csv
2026-05-04,deliveries/2026-05-04/wizard_of_odds/after_game_clv_and_scoring.md,True,1084,,.md
2026-05-04,deliveries/2026-05-04/wizard_of_odds/after_game_clv_and_scoring.parquet,True,64408,0.0,.parquet
2026-05-04,deliveries/2026-05-04/wizard_of_odds/calibration_by_role_bucket.csv,True,409,,.csv
2026-05-04,deliveries/2026-05-04/wizard_of_odds/calibration_by_stat.csv,True,490,,.csv
2026-05-04,deliveries/2026-05-04/wizard_of_odds/count_diagnostics.json,True,144,,.json
2026-05-04,deliveries/2026-05-04/wizard_of_odds/fair_odds_board.csv,True,13508000,,.csv
2026-05-04,deliveries/2026-05-04/wizard_of_odds/fair_odds_board.jsonl,True,28833993,,.jsonl
2026-05-04,deliveries/2026-05-04/wizard_of_odds/fair_odds_board.parquet,True,525319,0.0,.parquet
2026-05-04,deliveries/2026-05-04/wizard_of_odds/full_pmfs_outcome_level.csv,True,16981750,,.csv
2026-05-04,deliveries/2026-05-04/wizard_of_odds/full_pmfs_outcome_level.parquet,True,302498,0.0,.parquet
2026-05-04,deliveries/2026-05-04/wizard_of_odds/full_pmfs_wide.csv,True,1440992,,.csv
2026-05-04,deliveries/2026-05-04/wizard_of_odds/full_pmfs_wide.parquet,True,736054,0.0,.parquet
2026-05-04,deliveries/2026-05-04/wizard_of_odds/market_comparison.csv,True,3192425,,.csv
2026-05-04,deliveries/2026-05-04/wizard_of_odds/market_comparison.parquet,True,210931,0.0,.parquet
2026-05-04,deliveries/2026-05-04/wizard_of_odds/publishable_edges.csv,True,2557629,,.csv
2026-05-04,deliveries/2026-05-04/wizard_of_odds/publishable_edges.parquet,True,189806,0.0,.parquet
2026-05-04,deliveries/2026-05-04/wizard_of_odds/run_manifest.champion_stamp.json,True,909,,.json
2026-05-04,deliveries/2026-05-04/wizard_of_odds/run_manifest.json,True,4067,,.json
