stat,role_bucket,n,p0_error_before,p0_error_after,positive_mean_before,positive_mean_after,nll_before,nll_after,rps_before,rps_after,pit_ks_before,pit_ks_after,nll_delta,rps_delta,mode
stocks,fringe,239,0.06133541934090836,0.06133541934090836,1.72016712853071,1.72016712853071,1.1794888529051863,1.1794888529051863,0.017116348040810365,0.017116348040810365,0.23300875444957309,0.23300875444957309,0.0,0.0,identity
stocks,inactive_risk,243,0.010713465096236219,0.010713465096236219,1.975248609246911,1.9752486092469108,1.4201046907344508,1.4201046907344508,0.02227458724411204,0.02227458724411204,0.14197530864197527,0.14197530864197527,0.0,0.0,identity
stocks,rotation,954,-0.03936721905764251,-0.03936721905764251,2.0302340437952737,2.0302340437952737,3.0093338292727716,3.0093338292727716,0.03142208749973699,0.03142208749973699,0.09150911313935411,0.09150911313935411,0.0,0.0,identity
tov,starter,694,-0.1201253602305476,-0.1201253602305476,2.8992188276160133,2.8992188276160133,1.8558982354744167,1.8558982354744167,0.06700968278775339,0.06700968278775339,0.14165081652257455,0.14165081652257444,0.0,0.0,identity
blk,fringe,239,0.01809840397075546,0.01809840397075546,1.4922991631799167,1.4922991631799167,0.5795909477936914,0.5795909477936912,0.01283965204556163,0.01283965204556163,0.37029288702928875,0.37029288702928875,-1.1102230246251565e-16,0.0,identity
stl,fringe,239,0.03730860598479113,0.03730860598479113,1.5781401673640167,1.5781401673640167,0.8277319140715428,0.8277319140715427,0.022332079198243412,0.022332079198243412,0.2866108786610879,0.2866108786610879,-1.1102230246251565e-16,0.0,identity
stl,bench,628,0.0178874131125486,0.0178874131125486,1.612689888535032,1.6126898885350316,1.3833095080796332,1.383309508079633,0.03118048298512758,0.031180482985127576,0.18602547118780577,0.18602547118780577,-2.220446049250313e-16,-3.469446951953614e-18,identity
stl,starter,694,0.00246028406474319,-0.09325155706587257,1.8959564121037464,1.5690578378157434,2.388087724948296,2.386636588962413,0.05377278848176182,0.054581538026342136,0.07477930649121992,0.2189130878040026,-0.0014511359858833117,0.0008087495445803158,active
fg3m,fringe,239,-0.005160508540567155,-0.04699603580114409,0.6315746648140869,0.785651304345367,3.6688161737803147,3.664725671609974,0.02017095165093643,0.019288325414247756,0.2573221757322176,0.257401934002023,-0.004090502170340571,-0.0008826262366886731,active
tov,rotation,954,-0.11935674353598891,0.02384359394001262,2.072928174436725,1.8372857342141704,1.3768230537511312,1.3612675886941048,0.04324615671307495,0.043898362905482255,0.19457127882599579,0.21842074875197687,-0.01555546505702643,0.0006522061924073078,active
fg3m,inactive_risk,243,0.05541498921189847,-0.07424748331235342,1.0520946467632613,1.115632852137837,3.4711705970189484,3.4280523922340667,0.02956056235591521,0.02895474919014233,0.2461172163286619,0.2448559670781893,-0.04311820478488171,-0.0006058131657728782,active
tov,core,959,-0.14417970107751132,-0.04416237440540144,2.413344484991041,2.003680909786922,1.6238903767180097,1.5760995526828792,0.05334524991310393,0.05383129140361676,0.136224887035106,0.16312416791388573,-0.047790824035130575,0.0004860414905128313,active
fg3m,bench,628,0.08505870621641737,-0.056950552796269704,1.0873215716609863,1.2923678205797502,3.5470654860552546,3.4803007329480953,0.03232612388121875,0.02974600779937448,0.18116453535987265,0.252435427049524,-0.06676475310715935,-0.002580116081844268,active
tov,inactive_risk,243,-0.3044787379972565,0.045028730502326864,2.0445693769407076,1.8864149410222593,2.029970926709057,1.9270675520908347,0.054460693503570044,0.04852374045089045,0.33282098765432105,0.2476014731083895,-0.10290337461822241,-0.005936953052679592,active
