game_date,game_id,game_start_et,team,opponent,player_id,player_name,stat,role_bucket,line,mean,median,mode,p0,p_ge_1,p_ge_2,p_ge_3,p_ge_4,p_ge_5,p_ge_6,p_ge_7,p_over_line_model,market_fair_over_prob,model_edge_vs_market,support_min,support_max,pmf_source
2026-04-27,21681987,2026-04-27T22:30:00-04:00,Denver Nuggets,Minnesota Timberwolves,246,Nikola Jokic,reb,starter,13.5,13.3611,13,13,0.0001,0.9999,0.9942,0.9873,0.9792,0.97,0.9569,0.9403,0.4891,0.5384,-0.0493,0,30,cal_role_aware_v1
2026-04-27,21681987,2026-04-27T22:30:00-04:00,Denver Nuggets,Minnesota Timberwolves,246,Nikola Jokic,ast,starter,9.5,9.0184,9,8,0.0001,0.9999,0.9874,0.9719,0.9495,0.9186,0.8527,0.7733,0.4394,0.4739,-0.0345,0,25,cal_role_aware_v1
2026-04-27,21681987,2026-04-27T22:30:00-04:00,Denver Nuggets,Minnesota Timberwolves,246,Nikola Jokic,fg3m,starter,1.5,1.5141,1,1,0.1971,0.8029,0.4287,0.1787,0.0632,0.0037,0.0037,0.0037,0.4287,0.6,-0.1713,0,15,cal_role_aware_v1+fg3m_tail_shrink_k7_w0.2
2026-04-27,21681987,2026-04-27T22:30:00-04:00,Denver Nuggets,Minnesota Timberwolves,666679,Cameron Johnson,fg3m,core,1.5,2.0437,2,1,0.0657,0.9343,0.5886,0.3083,0.1299,0.0468,0.0036,0.0036,0.5886,0.5397,0.0489,0,15,cal_role_aware_v1+fg3m_tail_shrink_k7_w0.2
2026-04-27,21681987,2026-04-27T22:30:00-04:00,Minnesota Timberwolves,Denver Nuggets,3547259,Jaden McDaniels,pts,core,17.0,14.814,14,12,0.0002,0.9998,0.9852,0.9707,0.9524,0.9284,0.8968,0.8599,0.3288,0.489,-0.1602,0,80,cal_role_aware_v1
2026-04-27,21681987,2026-04-27T22:30:00-04:00,Minnesota Timberwolves,Denver Nuggets,3547259,Jaden McDaniels,reb,core,4.5,3.756,3,3,0.0285,0.9715,0.8671,0.7028,0.4962,0.3165,0.1865,0.1071,0.3165,0.5643,-0.2478,0,30,cal_role_aware_v1
2026-04-27,21681987,2026-04-27T22:30:00-04:00,Minnesota Timberwolves,Denver Nuggets,3547259,Jaden McDaniels,ast,core,2.5,2.7884,3,3,0.078,0.922,0.7384,0.5281,0.3094,0.158,0.0748,0.0283,0.5281,0.561,-0.0329,0,25,cal_role_aware_v1
2026-04-27,21681987,2026-04-27T22:30:00-04:00,Minnesota Timberwolves,Denver Nuggets,3547259,Jaden McDaniels,fg3m,core,1.5,1.8823,2,1,0.109,0.891,0.533,0.27,0.1112,0.0413,0.0036,0.0036,0.533,0.4441,0.0889,0,15,cal_role_aware_v1+fg3m_tail_shrink_k7_w0.2
2026-04-27,21681987,2026-04-27T22:30:00-04:00,Denver Nuggets,Minnesota Timberwolves,191,Tim Hardaway Jr.,pts,rotation,11.5,9.5532,9,11,0.0135,0.9865,0.9257,0.8839,0.825,0.7715,0.7148,0.6562,0.343,0.4988,-0.1558,0,80,cal_role_aware_v1
2026-04-27,21681987,2026-04-27T22:30:00-04:00,Denver Nuggets,Minnesota Timberwolves,191,Tim Hardaway Jr.,reb,rotation,2.5,2.6718,2,2,0.0929,0.9071,0.709,0.4726,0.2808,0.1513,0.0758,0.037,0.4726,0.5824,-0.1098,0,30,cal_role_aware_v1
2026-04-27,21681987,2026-04-27T22:30:00-04:00,Denver Nuggets,Minnesota Timberwolves,191,Tim Hardaway Jr.,fg3m,rotation,2.5,1.9303,2,1,0.0861,0.9139,0.5482,0.2706,0.1098,0.0431,0.0045,0.0045,0.2706,0.4029,-0.1323,0,15,cal_role_aware_v1+fg3m_tail_shrink_k7_w0.2
