stat,role_bucket,n,raw_model_logloss,repaired_model_logloss,market_logloss,raw_model_brier,repaired_model_brier,market_brier,raw_ece,repaired_ece,raw_calibration_pass,repaired_calibration_pass,raw_market_superiority_pass,repaired_market_superiority_pass,raw_model_better_calibrated,repaired_model_better_calibrated,selected_scope,selected_method,rollback_reason,repaired_calibration_pass,repaired_market_superiority_pass,repaired_model_better_calibrated,claim_status
pra,fringe,55,0.22584796096085405,0.22584796096085405,0.7375952516525198,0.056830435954545455,0.056830435954545455,0.2698324071153322,0.14466454545454543,0.14466454545454543,,,,,,,,,,False,False,False,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION
pra,inactive_risk,91,1.118689113959267,1.118689113959267,0.6605895391473033,0.4098163311813185,0.4098163311813185,0.23569417366874784,0.4368236263736263,0.4368236263736263,,,,,,,,,,False,False,False,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION
pra,rotation,1295,0.7305716817422744,0.7260532009275452,0.6899323396550979,0.2658385543667954,0.26411527048489297,0.24780836364501652,0.12850934362934366,0.12557353717877348,,,,,,,segment,logit_ab,,False,False,False,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
pra,starter,4551,0.644000821065397,0.644000821065397,0.6451845023930908,0.2240755091424962,0.2240755091424962,0.22746409809596999,0.05895287848824438,0.05895287848824438,,,,,,,,,,False,True,False,BLOCKED_CALIBRATION|BLOCKED_BOOTSTRAP|BLOCKED_CALIBRATION
pts,bench,1472,0.6736752258369177,0.6736752258369177,0.6674951680364185,0.23797533008756042,0.23797533008756042,0.23781209549806515,0.06136435688405799,0.06136435688405799,,,,,,,,,,False,False,False,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
pts,core,4922,0.7237672440617797,0.6842439100467348,0.6560838099622692,0.261730857149307,0.24562772927445714,0.23229362969234055,0.11465867533522954,0.036368573500692704,,,,,,,segment,shrunk_isotonic,,False,False,False,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
pts,fringe,110,0.37044414460253633,0.37044414460253633,0.6545119955869432,0.10946316565656565,0.10946316565656565,0.23085310582576293,0.04161212121212125,0.04161212121212125,,,,,,,,,,False,True,False,BLOCKED_CALIBRATION|BLOCKED_CALIBRATION
pts,inactive_risk,143,1.2176763475075496,0.8457280208362327,0.7038506756070041,0.44572337062937073,0.3226056678321678,0.2540236118203488,0.48575291375291374,0.3039137529137528,,,,,,,segment,shrink_to_half,,False,False,False,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
pts,rotation,2319,0.6743097701771102,0.6743097701771102,0.6698355216339096,0.24020080930477697,0.24020080930477697,0.23883668705442512,0.06904772171913177,0.06904772171913177,,,,,,,,,,False,False,False,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
pts,starter,5214,0.6303613479739698,0.6303613479739698,0.6332883801257336,0.2194600000852406,0.2194600000852406,0.2219312278095209,0.060128116609129235,0.060128116609129235,,,,,,,,,,False,True,False,BLOCKED_CALIBRATION|BLOCKED_BOOTSTRAP|BLOCKED_CALIBRATION
ra,bench,103,0.9141254597033639,0.9141254597033639,0.6872773336351746,0.3402642081796118,0.3402642081796118,0.24565358489583206,0.3190305825242718,0.3190305825242718,,,,,,,segment,logit_ab,,False,False,False,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
ra,core,1817,0.7121823642207394,0.6920482980132329,0.668394752698768,0.2578953748059989,0.24955740443719082,0.2382973938476063,0.136219069895432,0.08407088928410696,,,,,,,segment,logit_ab,,False,False,False,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
ra,fringe,29,0.8164487624152189,0.8164487624152189,0.664035208231793,0.29626892741379307,0.29626892741379307,0.23674800904362633,0.291051724137931,0.291051724137931,,,,,,,,,,False,False,False,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION
ra,inactive_risk,46,0.8199607814836789,0.8199607814836789,0.6560751397150848,0.2927876617934783,0.2927876617934783,0.2333915373532918,0.30433369565217394,0.30433369565217394,,,,,,,,,,False,False,False,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION
ra,rotation,623,0.7185467046735245,0.7185467046735245,0.6699336748026795,0.26159065152487965,0.26159065152487965,0.23937939306344916,0.13500288924558587,0.13500288924558587,,,,,,,segment,logit_ab,,False,False,False,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
ra,starter,2175,0.6655792755041507,0.6655792755041507,0.6566145867203093,0.23594294492413792,0.23594294492413792,0.23271902250319784,0.06811526436781613,0.06811526436781613,,,,,,,,,,False,False,False,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
reb,bench,793,0.7399642024241304,0.7399642024241304,0.6707457812651904,0.26957581252627155,0.26957581252627155,0.2390302101053809,0.10591593106347198,0.105915931063472,,,,,,,segment,logit_ab,,False,False,False,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
reb,core,3154,0.7017954240585963,0.6805861436520741,0.6671569338803338,0.25283952441344326,0.24384642728809977,0.23727218931917962,0.11151849503276258,0.04723462270133167,,,,,,,segment,shrink_to_half,,False,False,False,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
reb,fringe,69,0.6791719598563125,0.6791719598563125,0.6739390924117109,0.2357507713365539,0.2357507713365539,0.24213477731819338,0.16917391304347823,0.16917391304347823,,,,,,,,,,False,False,False,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION
reb,inactive_risk,70,1.285713819141248,1.285713819141248,0.655167783363663,0.4933410857142857,0.4933410857142857,0.23152878125592027,0.5640952380952381,0.5640952380952381,,,,,,,,,,False,False,False,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION
reb,rotation,1483,0.6935397558710649,0.6935397558710649,0.6521695833916533,0.25045122469468795,0.25045122469468795,0.2307305017056273,0.11245583277140929,0.11245583277140929,,,,,,,segment,logit_ab,,False,False,False,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
reb,starter,2828,0.6644586293737793,0.6644586293737793,0.6564207516277516,0.23669633718371838,0.23669633718371838,0.23259668880871373,0.08361221122112207,0.08361221122112207,,,,,,,,,,False,False,False,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
stl,bench,63,6.149897384299725,6.149897384299725,0.642807819028979,0.2255262080652033,0.2255262080652033,0.2257802593051596,0.22946406036801492,0.22946406036801492,,,,,,,,,,False,False,False,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION
stl,core,757,12.50858309664589,0.8361850820052826,0.6660161073108269,0.48519231591243134,0.31256190417748403,0.23658373832120713,0.48687100932942634,0.2605707520336072,,,,,,,segment,shrink_to_half,,False,False,False,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
stl,fringe,8,4.604800360320243,4.604800360320243,0.8317661339569247,0.592683104946893,0.592683104946893,0.3186507217339918,,,,,,,,,,,,False,False,False,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION
stl,inactive_risk,18,0.5251117966149251,0.5251117966149251,0.5380995376867024,0.16977219524775464,0.16977219524775464,0.1744092641480267,0.40222122475042005,0.40222122475042005,,,,,,,,,,False,False,False,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION
stl,rotation,294,12.057261904531588,0.831552331804772,0.6882365667190561,0.47693370489248194,0.3106712278022855,0.24742178308273025,0.48263904835387045,0.2719317690744743,,,,,,,segment,shrink_to_half,,False,False,False,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
stl,starter,783,9.114802540116225,0.7114594252999673,0.6676254794779872,0.367144936594411,0.2557342126106279,0.23738664214029792,0.3702268125182867,0.15761168177077073,,,,,,,segment,shrink_to_half,,False,False,False,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
stocks,bench,17,4.876062549870567,4.876062549870567,0.5904970906441377,0.17647058823529413,0.17647058823529413,0.19962981629798277,0.17647058823529413,0.17647058823529413,,,,,,,,,,False,False,False,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION
stocks,core,391,12.034788097272662,7.962094918036159,0.6875168634222228,0.46390554094068276,0.4631895169688829,0.2471899986770556,0.4632726133712702,0.4557807899708184,,,,,,,segment,logit_ab,,False,False,False,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
stocks,inactive_risk,6,1.0829216325590776,1.0829216325590776,0.9009807324338165,0.4226027929103349,0.4226027929103349,0.3514020008150636,,,,,,,,,,,,False,False,False,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION
stocks,rotation,87,10.930659104262444,10.930659104262444,0.6802847284536153,0.43718112207265136,0.43718112207265136,0.24399216726005346,0.48536699849165005,0.48536699849165005,,,,,,,,,,False,False,False,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION
stocks,starter,413,10.760970187776694,10.229259760372072,0.6897037899860966,0.4281668889285762,0.42821896239749235,0.24830371425703465,0.4154870706332806,0.415772103480104,,,,,,,segment,logit_ab,,False,False,False,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
tov,core,8,0.8221322170176193,0.8221322170176193,0.6625758091679305,0.3129828333333333,0.3129828333333333,0.23476244123051596,,,,,,,,,,,,False,False,False,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION
tov,inactive_risk,1,1.3983669423541598,1.3983669423541598,0.6743672859083488,0.567009,0.567009,0.24061117225578932,,,,,,,,,,,,False,False,False,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION
tov,starter,31,0.8380870047397194,0.8380870047397194,0.7024901465098004,0.31854693906810033,0.31854693906810033,0.2545973900144258,0.29421505376344076,0.29421505376344076,,,,,,,,,,False,False,False,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION
