stat,role_bucket,n,raw_mean_bias,repaired_mean_bias,raw_model_logloss,repaired_model_logloss,market_logloss,raw_model_brier,repaired_model_brier,market_brier,raw_market_superiority_pass,repaired_market_superiority_pass,raw_calibration_pass,repaired_calibration_pass,raw_model_better_calibrated,repaired_model_better_calibrated,selected_scope,selected_method,rollback_reason,claim_status
reb,bench,793,-0.16760613703236665,-0.16760613703236665,0.739964202424131,0.7399642024241304,0.6707457812651904,0.2695758125262718,0.2695758125262715,0.2390302101053809,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
reb,core,3154,-1.0440115197632636,-1.0440115197632636,0.7017954240585911,0.6805861436520741,0.6671569338803338,0.2528395244134438,0.2438464272880997,0.23727218931917962,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
reb,fringe,69,-1.2320917874396131,-1.2320917874396131,0.6791719598563128,0.6791719598563125,0.6739390924117109,0.23575077133655384,0.2357507713365539,0.24213477731819338,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION
reb,inactive_risk,70,-3.121928571428571,-3.121928571428571,1.285713819141248,1.285713819141248,0.655167783363663,0.4933410857142859,0.4933410857142857,0.23152878125592027,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION
reb,rotation,1483,-0.38916430658574963,-0.38916430658574963,0.6935397558710638,0.6935397558710649,0.6521695833916533,0.25045122469468784,0.2504512246946879,0.2307305017056273,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
reb,starter,2828,-0.5125722536539369,-0.4083753253182461,0.6644586293737815,0.6611609345115084,0.6564207516277516,0.23669633718371969,0.2351123930268522,0.23259668880871373,False,False,False,False,False,False,stat_role,multiplicative_gamma,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
stl,bench,63,-0.32027992007554196,-0.32027992007554196,6.149897384299725,6.149897384299725,0.642807819028979,0.2255262080652033,0.2255262080652033,0.2257802593051596,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION
stl,core,757,-1.0137409477965944,-1.0137409477965944,12.508583096645992,0.8361850820052826,0.6660161073108269,0.4851923159124312,0.312561904177484,0.23658373832120713,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
stl,fringe,8,-0.37668799203462744,-0.37668799203462744,4.604800360320243,4.604800360320243,0.8317661339569247,0.5926831049468929,0.592683104946893,0.3186507217339918,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION
stl,inactive_risk,18,-0.2648713520798888,-0.2648713520798888,0.5251117966149254,0.5251117966149251,0.5380995376867024,0.16977219524775458,0.1697721952477546,0.1744092641480267,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION
