player_id,player_name,game_id,game,team_id,stat,side,line,odds,bet_vendor,model_prob,market_prob,ev,kelly_units,q50,q_preds,usage_bucket,mp_bucket,actual,result,profit,clv_proxy,grade_date
795959473,Pat Spencer,18447752,Golden State Warriors @ Utah Jazz,10,stl,UNDER,1.5,-190,betway,0.7105,0.6062,0.0845,0.04,0.95,"{'0.1': -0.0, '0.2': 0.0, '0.25': 0.0, '0.33': 0.16, '0.4': 0.52, '0.5': 0.95, '0.6': 1.04, '0.67': 1.37, '0.75': 1.63, '0.8': 1.92, '0.9': 2.11}",0,2,1.0,HIT,0.5263157894736841,-0.1043,2026-03-09
137,Andre Drummond,18447749,Philadelphia 76ers @ Cleveland Cavaliers,23,stl,UNDER,0.5,-140,betway,0.6305,0.5385,0.0808,0.028,0.1,"{'0.1': 0.0, '0.2': 0.0, '0.25': 0.0, '0.33': 0.0, '0.4': 0.0, '0.5': 0.1, '0.6': 0.4, '0.67': 0.64, '0.75': 0.68, '0.8': 0.86, '0.9': 1.53}",0,1,0.0,HIT,0.7142857142857144,-0.092,2026-03-09
73,Jalen Brunson,18447753,New York Knicks @ LA Clippers,20,ast,OVER,6.5,-143,draftkings,0.6352,0.5585,0.0795,0.028,7.55,"{'0.1': 4.07, '0.2': 5.09, '0.25': 5.52, '0.33': 6.16, '0.4': 6.84, '0.5': 7.55, '0.6': 8.57, '0.67': 9.41, '0.75': 10.25, '0.8': 11.14, '0.9': 11.67}",0,3,8.0,HIT,0.6993006993006992,0.0767,2026-03-09
666679,Cameron Johnson,18447751,Denver Nuggets @ Oklahoma City Thunder,8,ast,OVER,2.5,130,betmgm,0.4691,0.4059,0.079,0.015,2.41,"{'0.1': 0.72, '0.2': 1.09, '0.25': 1.09, '0.33': 1.27, '0.4': 1.86, '0.5': 2.41, '0.6': 2.7, '0.67': 2.92, '0.75': 3.59, '0.8': 3.82, '0.9': 4.72}",0,3,1.0,MISS,-1.0,0.0632,2026-03-09
89,Alex Caruso,18447751,Denver Nuggets @ Oklahoma City Thunder,21,pts,OVER,5.5,-130,betmgm,0.6097,0.5331,0.0787,0.026,6.92,"{'0.1': 0.04, '0.2': 2.66, '0.25': 3.47, '0.33': 4.92, '0.4': 5.59, '0.5': 6.92, '0.6': 8.28, '0.67': 8.4, '0.75': 8.98, '0.8': 9.57, '0.9': 12.93}",0,1,,NO_ACTION,0.0,,2026-03-09
1028028993,Jaylon Tyson,18447749,Philadelphia 76ers @ Cleveland Cavaliers,6,pts,UNDER,12.5,-115,draftkings,0.5765,0.5063,0.0779,0.022,11.06,"{'0.1': 4.66, '0.2': 6.34, '0.25': 7.39, '0.33': 8.33, '0.4': 9.93, '0.5': 11.06, '0.6': 12.94, '0.67': 14.71, '0.75': 16.63, '0.8': 18.41, '0.9': 21.36}",0,2,11.0,HIT,0.8695652173913042,-0.0702,2026-03-09
61,Mikal Bridges,18447753,New York Knicks @ LA Clippers,20,stl,UNDER,1.5,-219,betway,0.7399,0.6453,0.0778,0.043,1.02,"{'0.1': 0.0, '0.2': 0.0, '0.25': 0.04, '0.33': 0.27, '0.4': 0.85, '0.5': 1.02, '0.6': 1.1, '0.67': 1.35, '0.75': 1.52, '0.8': 2.07, '0.9': 2.56}",0,3,2.0,MISS,-1.0,-0.0946,2026-03-09
1028039105,Jaylen Wells,18447750,Memphis Grizzlies @ Brooklyn Nets,15,blk,UNDER,0.5,-400,betway,0.8619,0.75,0.0773,0.077,0.0,"{'0.1': 0.0, '0.2': 0.0, '0.25': 0.0, '0.33': 0.0, '0.4': 0.0, '0.5': 0.0, '0.6': 0.0, '0.67': 0.06, '0.75': 0.06, '0.8': 0.06, '0.9': 0.77}",0,2,0.0,HIT,0.25,-0.1119,2026-03-09
56677833,Cason Wallace,18447751,Denver Nuggets @ Oklahoma City Thunder,21,stl,UNDER,1.5,105,draftkings,0.5254,0.4577,0.0771,0.018,1.34,"{'0.1': 0.07, '0.2': 0.39, '0.25': 0.54, '0.33': 1.15, '0.4': 1.15, '0.5': 1.34, '0.6': 1.98, '0.67': 2.23, '0.75': 2.45, '0.8': 2.75, '0.9': 3.6}",0,3,0.0,HIT,1.0499999999999998,-0.0677,2026-03-09
202,Josh Hart,18447753,New York Knicks @ LA Clippers,20,pts,OVER,10.5,100,betmgm,0.5377,0.4906,0.0753,0.019,11.54,"{'0.1': 4.77, '0.2': 6.97, '0.25': 7.9, '0.33': 7.97, '0.4': 8.78, '0.5': 11.54, '0.6': 13.68, '0.67': 15.39, '0.75': 17.06, '0.8': 17.72, '0.9': 20.81}",0,2,12.0,HIT,1.0,0.0471,2026-03-09
