player_id,player_name,game_id,game,team_id,stat,side,line,odds,over_odds,under_odds,bet_vendor,model_prob,model_prob_raw,model_prob_cal,cal_source,market_prob,raw_edge,ev,kelly_units,q50,q_preds,usage_bucket,mp_bucket,min_ev_applied,cal_type,cal_applied,is_sparse,actual,result,profit,clv_proxy,clv,clv_is_true,grade_date
38017683,Paolo Banchero,18447956,Orlando Magic @ New Orleans Pelicans,22,reb,UNDER,8.0,112,112,112,betparx,0.6529,0.8445,0.6529,global_side,0.5,0.1529,0.384,0.051,6.01,"{'0.1': 3.81, '0.2': 4.55, '0.25': 4.78, '0.33': 5.41, '0.4': 5.52, '0.5': 6.01, '0.6': 6.31, '0.67': 6.53, '0.75': 6.93, '0.8': 7.3, '0.9': 8.88}",0,3,0.025,global,True,False,16.0,MISS,-1.0,-0.1529,-0.1529,False,2026-04-05
56677859,Olivier-Maxence Prosper,18447953,Memphis Grizzlies @ Milwaukee Bucks,15,reb,UNDER,5.5,102,-110,102,betway,0.6718,0.8654,0.6718,global_side,0.4859,0.1859,0.357,0.053,3.64,"{'0.1': 2.02, '0.2': 2.71, '0.25': 2.71, '0.33': 3.26, '0.4': 3.53, '0.5': 3.64, '0.6': 4.16, '0.67': 4.3, '0.75': 4.66, '0.8': 5.01, '0.9': 5.76}",0,2,0.025,global,True,False,3.0,HIT,1.02,-0.1859,-0.1859,False,2026-04-05
473,Derrick White,18447950,Toronto Raptors @ Boston Celtics,2,ast,UNDER,4.5,-120,120,-120,betway,0.7376,0.9237,0.7376,global_side,0.5455,0.1921,0.3522,0.063,2.93,"{'0.1': 1.6, '0.2': 1.93, '0.25': 2.18, '0.33': 2.44, '0.4': 2.54, '0.5': 2.93, '0.6': 3.08, '0.67': 3.39, '0.75': 3.9, '0.8': 4.1, '0.9': 4.42}",0,3,0.025,global,True,False,6.0,MISS,-1.0,-0.1921,-0.1921,False,2026-04-05
56677858,Brandin Podziemski,18447960,Houston Rockets @ Golden State Warriors,10,pts,OVER,12.5,102,102,-115,betparx,0.6693,0.8055,0.6693,global_side,0.4807,0.1886,0.352,0.052,17.68,"{'0.1': 10.72, '0.2': 12.6, '0.25': 13.75, '0.33': 14.9, '0.4': 16.0, '0.5': 17.68, '0.6': 18.66, '0.67': 19.22, '0.75': 19.22, '0.8': 20.47, '0.9': 22.87}",0,3,0.025,global,True,False,18.0,HIT,1.02,0.1886,0.1886,False,2026-04-05
24489167,Brandon Williams,18447958,Los Angeles Lakers @ Dallas Mavericks,7,stl,OVER,0.5,-140,-140,100,betway,0.7859,0.9,0.7859,global_side,0.5385,0.2474,0.3473,0.073,1.15,"{'0.1': 0.51, '0.2': 0.51, '0.25': 0.51, '0.33': 0.58, '0.4': 0.62, '0.5': 1.15, '0.6': 1.24, '0.67': 1.24, '0.75': 1.43, '0.8': 1.87, '0.9': 2.14}",0,1,0.025,global,True,True,2.0,HIT,0.7142857142857144,0.2474,0.2474,False,2026-04-05
56677824,Taylor Hendricks,18447953,Memphis Grizzlies @ Milwaukee Bucks,15,reb,UNDER,5.5,-107,-108,-107,betparx,0.6949,0.8883,0.6949,global_side,0.4989,0.196,0.3443,0.055,3.99,"{'0.1': 2.27, '0.2': 2.79, '0.25': 3.14, '0.33': 3.27, '0.4': 3.65, '0.5': 3.99, '0.6': 4.4, '0.67': 4.8, '0.75': 5.04, '0.8': 5.04, '0.9': 5.56}",0,2,0.025,global,True,False,4.0,HIT,0.9345794392523366,-0.196,-0.196,False,2026-04-05
322,Donovan Mitchell,18447954,Indiana Pacers @ Cleveland Cavaliers,6,pts,UNDER,27.5,-102,-110,-102,betway,0.6673,0.8606,0.6673,global_side,0.4908,0.1764,0.3215,0.049,21.7,"{'0.1': 15.52, '0.2': 17.41, '0.25': 18.79, '0.33': 19.14, '0.4': 19.79, '0.5': 21.7, '0.6': 23.3, '0.67': 24.99, '0.75': 25.75, '0.8': 25.96, '0.9': 28.51}",0,3,0.025,global,True,False,38.0,MISS,-1.0,-0.1765,-0.1765,False,2026-04-05
17895983,Ayo Dosunmu,18447955,Charlotte Hornets @ Minnesota Timberwolves,18,reb,OVER,4.5,-115,-115,106,betway,0.7054,0.8376,0.7054,global_side,0.5242,0.1812,0.3188,0.055,6.09,"{'0.1': 3.97, '0.2': 4.82, '0.25': 4.82, '0.33': 5.26, '0.4': 5.61, '0.5': 6.09, '0.6': 6.2, '0.67': 6.36, '0.75': 6.98, '0.8': 7.31, '0.9': 8.36}",0,3,0.025,global,True,False,4.0,MISS,-1.0,0.1812,0.1812,False,2026-04-05
2189,Gary Payton II,18447960,Houston Rockets @ Golden State Warriors,10,reb,OVER,3.5,-148,-148,118,betrivers,0.7831,0.898,0.7831,global_side,0.5654,0.2177,0.3122,0.069,5.6,"{'0.1': 3.48, '0.2': 4.31, '0.25': 4.31, '0.33': 4.93, '0.4': 5.12, '0.5': 5.6, '0.6': 5.73, '0.67': 5.89, '0.75': 6.26, '0.8': 6.53, '0.9': 7.56}",0,2,0.025,global,True,False,3.0,MISS,-1.0,0.2177,0.2177,False,2026-04-05
1057267077,Jeremiah Fears,18447956,Orlando Magic @ New Orleans Pelicans,19,reb,UNDER,4.0,108,125,108,betway,0.6279,0.8139,0.6279,global_side,0.5196,0.1083,0.3061,0.043,3.33,"{'0.1': 1.98, '0.2': 2.15, '0.25': 2.75, '0.33': 2.75, '0.4': 2.86, '0.5': 3.33, '0.6': 3.42, '0.67': 3.44, '0.75': 3.76, '0.8': 3.89, '0.9': 4.66}",0,2,0.025,global,True,False,3.0,HIT,1.08,-0.1083,-0.1083,False,2026-04-05
