player_id,player_name,game_id,stat,side,line,actual,p_realized,model_prob_side,market_prob_side,model_brier,market_brier,model_logloss,market_logloss
17896075,Cade Cunningham,21684819,stl,UNDER,1.5,0,0.2367,0.6806,0.5806,0.10201636000000001,0.17589636,0.3847805169153317,0.5436932273916075
17896075,Cade Cunningham,21684819,blk,OVER,0.5,2,0.1509,0.6561,0.5559,0.11826720999999998,0.19722481000000006,0.4214420626313052,0.5871668570227133
397,Duncan Robinson,21684819,pts,UNDER,10.5,10,0.0692,0.595,0.5023,0.16402500000000003,0.24770529000000002,0.5191938734365074,0.688557728226138
397,Duncan Robinson,21684819,fg3m,UNDER,2.5,2,0.2593,0.6858,0.5436,0.09872164000000003,0.20830096000000003,0.3771692389533171,0.6095415967051484
38017683,Paolo Banchero,21684819,reb,UNDER,8.5,9,0.0956,0.6081,0.5141,0.36978561,0.26429881,0.9367485737765512,0.7217524375702797
38017683,Paolo Banchero,21684819,ast,UNDER,5.5,6,0.1348,0.6084,0.5254,0.3701505600000001,0.27604515999999996,0.9375143683257818,0.7452829349804738
38017683,Paolo Banchero,21684819,fg3m,UNDER,1.5,4,0.0499,0.6202,0.5307,0.38464803999999997,0.28164248999999997,0.9681104806039514,0.756513056181765
38017683,Paolo Banchero,21684819,stl,UNDER,1.5,0,0.364,0.6335,0.5342,0.13432225000000003,0.21696964,0.4564952792209434,0.6269849783062765
85,Wendell Carter Jr.,21684819,reb,OVER,7.5,5,0.0762,0.533,0.4503,0.28408900000000004,0.20277009,0.7614260213132398,0.5983826041155222
3547287,Desmond Bane,21684819,pts,UNDER,18.5,16,0.0435,0.5577,0.4807,0.19562929,0.26967249,0.5839340955866291,0.732511904082222
3547287,Desmond Bane,21684819,fg3m,UNDER,2.5,3,0.1626,0.6988,0.5062,0.48832143999999994,0.25623843999999996,1.1999807830563984,0.7056247020710579
3547287,Desmond Bane,21684819,blk,UNDER,0.5,1,0.2045,0.6933,0.615,0.48066489,0.378225,1.1818852078619313,0.9545119446943529
1028025497,Tristan Da Silva,21684819,reb,UNDER,2.5,0,0.1669,0.5842,0.4831,0.17288963999999996,0.26718561,0.5375118890284963,0.7275316074217761
38017694,Jalen Duren,21684819,pts,OVER,12.5,15,0.0572,0.6069,0.5174,0.15452761,0.23290276000000001,0.4993912461403276,0.6589390092302083
38017694,Jalen Duren,21684819,stl,UNDER,0.5,1,0.271,0.6289,0.5031,0.39551521,0.25310961,0.9912837109155852,0.6993664803738622
