game_date,player_name,team,opponent,stat,line,outcome_k,probability,cdf,survival_prob_ge_k,p_over_line_model,market_fair_over_prob,model_edge_vs_market,pmf_source
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,reb,6.5,3,0.147,0.2769,0.8701,0.27,0.526,-0.256,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,reb,6.5,4,0.1652,0.4421,0.7231,0.27,0.526,-0.256,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,reb,6.5,5,0.1604,0.6026,0.5579,0.27,0.526,-0.256,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,reb,6.5,6,0.1275,0.73,0.3974,0.27,0.526,-0.256,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,reb,6.5,7,0.1024,0.8324,0.27,0.27,0.526,-0.256,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,reb,6.5,8,0.0729,0.9053,0.1676,0.27,0.526,-0.256,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,reb,6.5,9,0.046,0.9513,0.0947,0.27,0.526,-0.256,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,reb,6.5,10,0.0255,0.9768,0.0487,0.27,0.526,-0.256,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,reb,6.5,11,0.012,0.9888,0.0232,0.27,0.526,-0.256,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,reb,6.5,12,0.0061,0.9949,0.0112,0.27,0.526,-0.256,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,reb,6.5,13,0.0024,0.9973,0.0051,0.27,0.526,-0.256,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,reb,6.5,14,0.0012,0.9985,0.0027,0.27,0.526,-0.256,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,reb,6.5,15,0.0007,0.9992,0.0015,0.27,0.526,-0.256,cal_role_aware_v1
