stat,role_bucket,n,raw_model_logloss,active_model_logloss,market_logloss,raw_model_brier,active_model_brier,market_brier,delta_logloss_active_vs_market,delta_brier_active_vs_market,event_neutral_applied_count,pmf_mean_shift_applied_count,mean_bias_before,mean_bias_after,calibration_pass,model_better_calibrated,market_superiority_pass,bootstrap_ci_pass,strict_claimable,remaining_primary_blocker,remaining_secondary_blockers,next_repair_family,do_not_claim_reason,market_superiority_eligible,ledger_dominant_failure
stl,bench,63,6.149897384299725,6.149897384299725,0.642807819028979,0.2255262080652033,0.2255262080652033,0.2257802593051596,5.5070895652707454,-0.00025405123995630996,0,0,-0.32027992007554196,-0.32027992007554196,False,False,False,True,False,low_market_coverage,nan,no_repair_allowed_without_feature_model_work,market_superiority_fail|calibration_fail,False,insufficient_scored_rows
stl,core,757,12.50858309664589,0.8361850820052826,0.6660161073108269,0.48519231591243134,0.31256190417748403,0.23658373832120713,0.1701689746944557,0.0759781658562769,757,0,-1.0137409477965944,-1.0137409477965944,False,False,False,False,False,bootstrap_ci_not_better,mean_delta_not_negative|bootstrap_ci_not_better,needs_more_data_or_more_stable_edges,market_superiority_fail|calibration_fail|bootstrap_math_fail|mean_delta_math_fail,True,model_prob_too_high_or_overconfident_side
stl,fringe,8,4.604800360320243,4.604800360320243,0.8317661339569247,0.592683104946893,0.592683104946893,0.3186507217339918,3.7730342263633183,0.27403238321290124,0,0,-0.37668799203462744,-0.37668799203462744,False,False,False,True,False,low_market_coverage,nan,no_repair_allowed_without_feature_model_work,market_superiority_fail|calibration_fail,False,insufficient_scored_rows
stl,inactive_risk,18,0.5251117966149251,0.5251117966149251,0.5380995376867024,0.16977219524775464,0.16977219524775464,0.1744092641480267,-0.012987741071777248,-0.004637068900272073,0,0,-0.2648713520798888,-0.2648713520798888,False,False,False,True,False,low_market_coverage,nan,no_repair_allowed_without_feature_model_work,market_superiority_fail|calibration_fail,False,insufficient_scored_rows
stl,rotation,294,12.057261904531588,0.831552331804772,0.6882365667190561,0.47693370489248194,0.3106712278022855,0.24742178308273025,0.14331576508571586,0.06324944471955526,294,0,-0.9145433375739245,-0.9145433375739245,False,False,False,False,False,bootstrap_ci_not_better,mean_delta_not_negative|bootstrap_ci_not_better,needs_more_data_or_more_stable_edges,market_superiority_fail|calibration_fail|bootstrap_math_fail|mean_delta_math_fail,True,model_prob_too_high_or_overconfident_side
stl,starter,783,9.114802540116225,0.7114594252999673,0.6676254794779872,0.367144936594411,0.2557342126106279,0.23738664214029792,0.04383394582198008,0.018347570470329977,783,0,-0.8330973290911294,-0.8330973290911294,False,False,False,False,False,bootstrap_ci_not_better,mean_delta_not_negative|bootstrap_ci_not_better,needs_more_data_or_more_stable_edges,market_superiority_fail|calibration_fail|bootstrap_math_fail|mean_delta_math_fail,True,model_prob_too_high_or_overconfident_side
stl,unknown,0,,,,,,,,,0,0,,,False,False,False,True,False,low_market_coverage,nan,no_repair_allowed_without_feature_model_work,market_superiority_fail|calibration_fail,False,insufficient_scored_rows
blk,nan,0,,,,,,,,,0,0,,,False,False,False,True,False,low_market_coverage,,no_repair_allowed_without_feature_model_work,market_superiority_fail|calibration_fail,False,
blk,bench,86,10.66952949120945,10.66952949120945,0.5857576223581141,0.41026698498507064,0.41026698498507064,0.19889797294676728,10.083771868851336,0.21136901203830336,0,0,-0.6114251836833229,-0.6114251836833229,False,False,False,True,False,low_market_coverage,nan,no_repair_allowed_without_feature_model_work,market_superiority_fail|calibration_fail,False,insufficient_scored_rows
blk,core,772,12.448774351881013,6.987722826244753,0.66825530621502,0.4696726134390432,0.4689423867571426,0.2374855391916781,6.319467520029733,0.2314568475654645,772,0,-0.9056704815906376,-0.9056704815906376,False,False,False,False,False,bootstrap_ci_not_better,mean_delta_not_negative|bootstrap_ci_not_better,needs_more_data_or_more_stable_edges,market_superiority_fail|calibration_fail|bootstrap_math_fail|mean_delta_math_fail,True,model_prob_too_high_or_overconfident_side
blk,fringe,5,16.578612669557526,16.578612669557526,1.143261931231702,0.6,0.6,0.4607465555682638,15.435350738325823,0.13925344443173615,0,0,-0.6,-0.6,False,False,False,True,False,low_market_coverage,nan,no_repair_allowed_without_feature_model_work,market_superiority_fail|calibration_fail,False,insufficient_scored_rows
blk,inactive_risk,18,0.2179640898779541,0.2179640898779541,0.5632224394598744,0.047850854783932494,0.047850854783932494,0.19134107054071534,-0.34525834958192025,-0.14349021575678284,0,0,0.325333398302879,0.325333398302879,False,False,False,True,False,low_market_coverage,nan,no_repair_allowed_without_feature_model_work,market_superiority_fail|calibration_fail,False,insufficient_scored_rows
blk,rotation,220,7.447715892459222,2.7338445386405716,0.6133219944441208,0.3258155905568636,0.30703892305524133,0.21296372675341987,2.120522544196451,0.09407519630182146,220,0,-0.38893478074387977,-0.38893478074387977,False,False,False,False,False,bootstrap_ci_not_better,mean_delta_not_negative|bootstrap_ci_not_better,needs_more_data_or_more_stable_edges,market_superiority_fail|calibration_fail|bootstrap_math_fail|mean_delta_math_fail,True,model_prob_too_high_or_overconfident_side
blk,starter,730,9.165128195178552,0.7139981245272986,0.6390014952177081,0.37014046684993973,0.25692254595251574,0.2244944754705247,0.0749966293095905,0.032428070481991034,730,0,-0.6199843785807476,-0.6199843785807476,False,False,False,False,False,bootstrap_ci_not_better,mean_delta_not_negative|bootstrap_ci_not_better,needs_more_data_or_more_stable_edges,market_superiority_fail|calibration_fail|bootstrap_math_fail|mean_delta_math_fail,True,model_prob_too_high_or_overconfident_side
blk,unknown,0,,,,,,,,,0,0,,,False,False,False,True,False,low_market_coverage,nan,no_repair_allowed_without_feature_model_work,market_superiority_fail|calibration_fail,False,insufficient_scored_rows
stocks,nan,0,,,,,,,,,0,0,,,False,False,False,True,False,low_market_coverage,,no_repair_allowed_without_feature_model_work,market_superiority_fail|calibration_fail,False,
stocks,bench,17,4.876062549870567,4.876062549870567,0.5904970906441377,0.17647058823529413,0.17647058823529413,0.19962981629798277,4.285565459226429,-0.023159228062688636,0,0,-1.0588235294117647,-1.0588235294117647,False,False,False,True,False,low_market_coverage,nan,no_repair_allowed_without_feature_model_work,market_superiority_fail|calibration_fail,False,insufficient_scored_rows
stocks,core,391,12.034788097272662,7.962094918036159,0.6875168634222228,0.46390554094068276,0.4631895169688829,0.2471899986770556,7.274578054613936,0.21599951829182729,391,0,-1.7552991919763696,-1.7552991919763696,False,False,False,False,False,bootstrap_ci_not_better,mean_delta_not_negative|bootstrap_ci_not_better,needs_more_data_or_more_stable_edges,market_superiority_fail|calibration_fail|bootstrap_math_fail|mean_delta_math_fail,True,model_prob_too_high_or_overconfident_side
stocks,fringe,0,,,,,,,,,0,0,,,False,False,False,True,False,low_market_coverage,nan,no_repair_allowed_without_feature_model_work,market_superiority_fail|calibration_fail,False,insufficient_scored_rows
stocks,inactive_risk,6,1.0829216325590776,1.0829216325590776,0.9009807324338165,0.4226027929103349,0.4226027929103349,0.3514020008150636,0.1819409001252611,0.0712007920952713,0,0,-0.30694791324307963,-0.30694791324307963,False,False,False,True,False,low_market_coverage,nan,no_repair_allowed_without_feature_model_work,market_superiority_fail|calibration_fail,False,insufficient_scored_rows
stocks,rotation,87,10.930659104262444,10.930659104262444,0.6802847284536153,0.43718112207265136,0.43718112207265136,0.24399216726005346,10.250374375808828,0.1931889548125979,0,0,-1.247730365060089,-1.247730365060089,False,False,False,True,False,low_market_coverage,nan,no_repair_allowed_without_feature_model_work,market_superiority_fail|calibration_fail,False,insufficient_scored_rows
